Date,Production/Deliveries/Stocks,Brick Type,Millions of Bricks,Building Material Type,Geographical Region,Unique_Key
01/11/2019,Deliveries(from),Facings,143493000,Bricks,Great Britain,2019NovDeliveries(from)-Facings1434930001101/11/2019
01/11/2019,Stocks,Facings,361840000,Bricks,Great Britain,2019NovStocks-Facings3618400001101/11/2019
01/11/2019,Production,Engineerings,15526000,Bricks,Great Britain,2019NovProduction-Engineerings155260001101/11/2019
01/11/2019,Deliveries(from),Engineerings,11676000,Bricks,Great Britain,2019NovDeliveries(from)-Engineerings116760001101/11/2019
01/11/2019,Stocks,Engineerings,18293000,Bricks,Great Britain,2019NovStocks-Engineerings182930001101/11/2019
01/12/2019,Seasonally Adjusted Deliveries,All Types,171.6230367,Bricks,Great Britain,2019DecSeasonally Adjusted Deliveries-All Types171.62303671201/12/2019
01/12/2019,Production,All Types,,Bricks,Great Britain,2019DecProduction-All Typesc1201/12/2019
01/12/2019,Deliveries(from),All Types,132851000,Bricks,Great Britain,2019DecDeliveries(from)-All Types1328510001201/12/2019
01/12/2019,Stocks,All Types,424370000,Bricks,Great Britain,2019DecStocks-All Types4243700001201/12/2019
01/12/2019,Production,Commons,5315000,Bricks,Great Britain,2019DecProduction-Commons53150001201/12/2019
01/12/2019,Deliveries(from),Commons,5865000,Bricks,Great Britain,2019DecDeliveries(from)-Commons58650001201/12/2019
01/12/2019,Stocks,Commons,38778000,Bricks,Great Britain,2019DecStocks-Commons387780001201/12/2019
01/12/2019,Production,Facings,121358000,Bricks,Great Britain,2019DecProduction-Facings1213580001201/12/2019
01/12/2019,Deliveries(from),Facings,116321000,Bricks,Great Britain,2019DecDeliveries(from)-Facings1163210001201/12/2019
01/12/2019,Stocks,Facings,366877000,Bricks,Great Britain,2019DecStocks-Facings3668770001201/12/2019
01/12/2019,Production,Engineerings,,Bricks,Great Britain,2019DecProduction-Engineeringsc1201/12/2019
01/12/2019,Deliveries(from),Engineerings,10665000,Bricks,Great Britain,2019DecDeliveries(from)-Engineerings106650001201/12/2019
01/12/2019,Stocks,Engineerings,18715000,Bricks,Great Britain,2019DecStocks-Engineerings187150001201/12/2019
01/01/2020,Seasonally Adjusted Deliveries,All Types,157.2241574,Bricks,Great Britain,2020JanSeasonally Adjusted Deliveries-All Types157.22415740101/01/2020
01/01/2020,Production,All Types,150892000,Bricks,Great Britain,2020JanProduction-All Types1508920000101/01/2020
01/01/2020,Deliveries(from),All Types,132188000,Bricks,Great Britain,2020JanDeliveries(from)-All Types1321880000101/01/2020
01/01/2020,Stocks,All Types,443072000,Bricks,Great Britain,2020JanStocks-All Types4430720000101/01/2020
01/01/2020,Production,Commons,8175000,Bricks,Great Britain,2020JanProduction-Commons81750000101/01/2020
01/01/2020,Deliveries(from),Commons,8299000,Bricks,Great Britain,2020JanDeliveries(from)-Commons82990000101/01/2020
01/01/2020,Stocks,Commons,38654000,Bricks,Great Britain,2020JanStocks-Commons386540000101/01/2020
01/01/2020,Production,Facings,128745000,Bricks,Great Britain,2020JanProduction-Facings1287450000101/01/2020
01/01/2020,Deliveries(from),Facings,116910000,Bricks,Great Britain,2020JanDeliveries(from)-Facings1169100000101/01/2020
01/01/2020,Stocks,Facings,378710000,Bricks,Great Britain,2020JanStocks-Facings3787100000101/01/2020
01/01/2020,Production,Engineerings,13972000,Bricks,Great Britain,2020JanProduction-Engineerings139720000101/01/2020
01/01/2020,Deliveries(from),Engineerings,6979000,Bricks,Great Britain,2020JanDeliveries(from)-Engineerings69790000101/01/2020
01/01/2020,Stocks,Engineerings,25708000,Bricks,Great Britain,2020JanStocks-Engineerings257080000101/01/2020
01/02/2020,Seasonally Adjusted Deliveries,All Types,158.3977625,Bricks,Great Britain,2020FebSeasonally Adjusted Deliveries-All Types158.39776250201/02/2020
01/02/2020,Production,All Types,166028000,Bricks,Great Britain,2020FebProduction-All Types1660280000201/02/2020
01/02/2020,Deliveries(from),All Types,141076000,Bricks,Great Britain,2020FebDeliveries(from)-All Types1410760000201/02/2020
01/02/2020,Stocks,All Types,468024000,Bricks,Great Britain,2020FebStocks-All Types4680240000201/02/2020
01/02/2020,Production,Commons,10156000,Bricks,Great Britain,2020FebProduction-Commons101560000201/02/2020
01/02/2020,Deliveries(from),Commons,9418000,Bricks,Great Britain,2020FebDeliveries(from)-Commons94180000201/02/2020
01/02/2020,Stocks,Commons,39392000,Bricks,Great Britain,2020FebStocks-Commons393920000201/02/2020
01/02/2020,Production,Facings,145147000,Bricks,Great Britain,2020FebProduction-Facings1451470000201/02/2020
01/02/2020,Deliveries(from),Facings,122461000,Bricks,Great Britain,2020FebDeliveries(from)-Facings1224610000201/02/2020
01/02/2020,Stocks,Facings,401396000,Bricks,Great Britain,2020FebStocks-Facings4013960000201/02/2020
01/02/2020,Production,Engineerings,10725000,Bricks,Great Britain,2020FebProduction-Engineerings107250000201/02/2020
01/02/2020,Deliveries(from),Engineerings,9197000,Bricks,Great Britain,2020FebDeliveries(from)-Engineerings91970000201/02/2020
01/02/2020,Stocks,Engineerings,27236000,Bricks,Great Britain,2020FebStocks-Engineerings272360000201/02/2020
01/03/2020,Seasonally Adjusted Deliveries,All Types,113.7941996,Bricks,Great Britain,2020MarSeasonally Adjusted Deliveries-All Types113.79419960301/03/2020
01/03/2020,Production,All Types,138954000,Bricks,Great Britain,2020MarProduction-All Types1389540000301/03/2020
01/03/2020,Deliveries(from),All Types,122038000,Bricks,Great Britain,2020MarDeliveries(from)-All Types1220380000301/03/2020
01/03/2020,Stocks,All Types,484940000,Bricks,Great Britain,2020MarStocks-All Types4849400000301/03/2020
01/03/2020,Production,Commons,7877000,Bricks,Great Britain,2020MarProduction-Commons78770000301/03/2020
