Date,Production/Deliveries/Stocks,Brick Type,Millions of Bricks,Building Material Type,Geographical Region,Unique_Key
01/11/2013,Seasonally Adjusted Deliveries,All Types,157.6652397,Bricks,Great Britain,2013NovSeasonally Adjusted Deliveries-All Types157.66523971101/11/2013
01/11/2013,Production,All Types,148.761,Bricks,Great Britain,2013NovProduction-All Types148.7611101/11/2013
01/11/2013,Deliveries(from),All Types,151.698,Bricks,Great Britain,2013NovDeliveries(from)-All Types151.6981101/11/2013
01/11/2013,Stocks,All Types,336.241,Bricks,Great Britain,2013NovStocks-All Types336.2411101/11/2013
01/11/2013,Production,Commons,13.071,Bricks,Great Britain,2013NovProduction-Commons13.0711101/11/2013
01/11/2013,Deliveries(from),Commons,14.427,Bricks,Great Britain,2013NovDeliveries(from)-Commons14.4271101/11/2013
01/11/2013,Stocks,Commons,34.699,Bricks,Great Britain,2013NovStocks-Commons34.6991101/11/2013
01/11/2013,Production,Facings,119.691,Bricks,Great Britain,2013NovProduction-Facings119.6911101/11/2013
01/11/2013,Deliveries(from),Facings,120.749,Bricks,Great Britain,2013NovDeliveries(from)-Facings120.7491101/11/2013
01/11/2013,Stocks,Facings,282.831,Bricks,Great Britain,2013NovStocks-Facings282.8311101/11/2013
01/11/2013,Production,Engineerings,15.999,Bricks,Great Britain,2013NovProduction-Engineerings15.9991101/11/2013
01/11/2013,Deliveries(from),Engineerings,16.522,Bricks,Great Britain,2013NovDeliveries(from)-Engineerings16.5221101/11/2013
01/11/2013,Stocks,Engineerings,18.711,Bricks,Great Britain,2013NovStocks-Engineerings18.7111101/11/2013
01/12/2013,Seasonally Adjusted Deliveries,All Types,158.1865632,Bricks,Great Britain,2013DecSeasonally Adjusted Deliveries-All Types158.18656321201/12/2013
01/12/2013,Production,All Types,107.03,Bricks,Great Britain,2013DecProduction-All Types107.031201/12/2013
01/12/2013,Deliveries(from),All Types,107.887,Bricks,Great Britain,2013DecDeliveries(from)-All Types107.8871201/12/2013
01/12/2013,Stocks,All Types,338.763,Bricks,Great Britain,2013DecStocks-All Types338.7631201/12/2013
01/12/2013,Production,Commons,10.922,Bricks,Great Britain,2013DecProduction-Commons10.9221201/12/2013
01/12/2013,Deliveries(from),Commons,10.049,Bricks,Great Britain,2013DecDeliveries(from)-Commons10.0491201/12/2013
01/12/2013,Stocks,Commons,34.808,Bricks,Great Britain,2013DecStocks-Commons34.8081201/12/2013
01/12/2013,Production,Facings,89.188,Bricks,Great Britain,2013DecProduction-Facings89.1881201/12/2013
01/12/2013,Deliveries(from),Facings,87.736,Bricks,Great Britain,2013DecDeliveries(from)-Facings87.7361201/12/2013
01/12/2013,Stocks,Facings,288.426,Bricks,Great Britain,2013DecStocks-Facings288.4261201/12/2013
01/12/2013,Production,Engineerings,6.92,Bricks,Great Britain,2013DecProduction-Engineerings6.921201/12/2013
01/12/2013,Deliveries(from),Engineerings,10.102,Bricks,Great Britain,2013DecDeliveries(from)-Engineerings10.1021201/12/2013
01/12/2013,Stocks,Engineerings,15.529,Bricks,Great Britain,2013DecStocks-Engineerings15.5291201/12/2013
01/01/2014,Seasonally Adjusted Deliveries,All Types,170.5471508,Bricks,Great Britain,2014JanSeasonally Adjusted Deliveries-All Types170.54715080101/01/2014
01/01/2014,Production,All Types,133.396,Bricks,Great Britain,2014JanProduction-All Types133.3960101/01/2014
01/01/2014,Deliveries(from),All Types,138.167,Bricks,Great Britain,2014JanDeliveries(from)-All Types138.1670101/01/2014
01/01/2014,Stocks,All Types,333.929,Bricks,Great Britain,2014JanStocks-All Types333.9290101/01/2014
01/01/2014,Production,Commons,13.93,Bricks,Great Britain,2014JanProduction-Commons13.930101/01/2014
01/01/2014,Deliveries(from),Commons,13.442,Bricks,Great Britain,2014JanDeliveries(from)-Commons13.4420101/01/2014
01/01/2014,Stocks,Commons,35.296,Bricks,Great Britain,2014JanStocks-Commons35.2960101/01/2014
01/01/2014,Production,Facings,106.848,Bricks,Great Britain,2014JanProduction-Facings106.8480101/01/2014
01/01/2014,Deliveries(from),Facings,111.799,Bricks,Great Britain,2014JanDeliveries(from)-Facings111.7990101/01/2014
01/01/2014,Stocks,Facings,283.412,Bricks,Great Britain,2014JanStocks-Facings283.4120101/01/2014
01/01/2014,Production,Engineerings,12.618,Bricks,Great Britain,2014JanProduction-Engineerings12.6180101/01/2014
01/01/2014,Deliveries(from),Engineerings,12.926,Bricks,Great Britain,2014JanDeliveries(from)-Engineerings12.9260101/01/2014
01/01/2014,Stocks,Engineerings,15.221,Bricks,Great Britain,2014JanStocks-Engineerings15.2210101/01/2014
01/02/2014,Seasonally Adjusted Deliveries,All Types,153.2097616,Bricks,Great Britain,2014FebSeasonally Adjusted Deliveries-All Types153.20976160201/02/2014
01/02/2014,Production,All Types,143.753,Bricks,Great Britain,2014FebProduction-All Types143.7530201/02/2014
01/02/2014,Deliveries(from),All Types,137.157,Bricks,Great Britain,2014FebDeliveries(from)-All Types137.1570201/02/2014
01/02/2014,Stocks,All Types,340.525,Bricks,Great Britain,2014FebStocks-All Types340.5250201/02/2014
01/02/2014,Production,Commons,13.918,Bricks,Great Britain,2014FebProduction-Commons13.9180201/02/2014
01/02/2014,Deliveries(from),Commons,11.812,Bricks,Great Britain,2014FebDeliveries(from)-Commons11.8120201/02/2014
01/02/2014,Stocks,Commons,37.402,Bricks,Great Britain,2014FebStocks-Commons37.4020201/02/2014
01/02/2014,Production,Facings,118.7,Bricks,Great Britain,2014FebProduction-Facings118.70201/02/2014
01/02/2014,Deliveries(from),Facings,113.5,Bricks,Great Britain,2014FebDeliveries(from)-Facings113.50201/02/2014
01/02/2014,Stocks,Facings,288.612,Bricks,Great Britain,2014FebStocks-Facings288.6120201/02/2014
01/02/2014,Production,Engineerings,11.135,Bricks,Great Britain,2014FebProduction-Engineerings11.1350201/02/2014
01/02/2014,Deliveries(from),Engineerings,11.845,Bricks,Great Britain,2014FebDeliveries(from)-Engineerings11.8450201/02/2014
01/02/2014,Stocks,Engineerings,14.511,Bricks,Great Britain,2014FebStocks-Engineerings14.5110201/02/2014
01/03/2014,Seasonally Adjusted Deliveries,All Types,149.9194559,Bricks,Great Britain,2014MarSeasonally Adjusted Deliveries-All Types149.91945590301/03/2014
01/03/2014,Production,All Types,164.524,Bricks,Great Britain,2014MarProduction-All Types164.5240301/03/2014
01/03/2014,Deliveries(from),All Types,162.141,Bricks,Great Britain,2014MarDeliveries(from)-All Types162.1410301/03/2014
01/03/2014,Stocks,All Types,342.908,Bricks,Great Britain,2014MarStocks-All Types342.9080301/03/2014
01/03/2014,Production,Commons,15.508,Bricks,Great Britain,2014MarProduction-Commons15.5080301/03/2014
01/03/2014,Deliveries(from),Commons,15.379,Bricks,Great Britain,2014MarDeliveries(from)-Commons15.3790301/03/2014
01/03/2014,Stocks,Commons,37.531,Bricks,Great Britain,2014MarStocks-Commons37.5310301/03/2014
01/03/2014,Production,Facings,134.124,Bricks,Great Britain,2014MarProduction-Facings134.1240301/03/2014
01/03/2014,Deliveries(from),Facings,132.369,Bricks,Great Britain,2014MarDeliveries(from)-Facings132.3690301/03/2014
01/03/2014,Stocks,Facings,290.367,Bricks,Great Britain,2014MarStocks-Facings290.3670301/03/2014
01/03/2014,Production,Engineerings,14.892,Bricks,Great Britain,2014MarProduction-Engineerings14.8920301/03/2014
01/03/2014,Deliveries(from),Engineerings,14.393,Bricks,Great Britain,2014MarDeliveries(from)-Engineerings14.3930301/03/2014
01/03/2014,Stocks,Engineerings,15.01,Bricks,Great Britain,2014MarStocks-Engineerings15.010301/03/2014
01/04/2014,Seasonally Adjusted Deliveries,All Types,151.4802889,Bricks,Great Britain,2014AprSeasonally Adjusted Deliveries-All Types151.48028890401/04/2014
01/04/2014,Production,All Types,150.836,Bricks,Great Britain,2014AprProduction-All Types150.8360401/04/2014
01/04/2014,Deliveries(from),All Types,155.899,Bricks,Great Britain,2014AprDeliveries(from)-All Types155.8990401/04/2014
01/04/2014,Stocks,All Types,340.976,Bricks,Great Britain,2014AprStocks-All Types340.9760401/04/2014
01/04/2014,Production,Commons,13.63,Bricks,Great Britain,2014AprProduction-Commons13.630401/04/2014
01/04/2014,Deliveries(from),Commons,15.571,Bricks,Great Britain,2014AprDeliveries(from)-Commons15.5710401/04/2014
01/04/2014,Stocks,Commons,35.785,Bricks,Great Britain,2014AprStocks-Commons35.7850401/04/2014
01/04/2014,Production,Facings,124.042,Bricks,Great Britain,2014AprProduction-Facings124.0420401/04/2014
01/04/2014,Deliveries(from),Facings,125.395,Bricks,Great Britain,2014AprDeliveries(from)-Facings125.3950401/04/2014
01/04/2014,Stocks,Facings,290.917,Bricks,Great Britain,2014AprStocks-Facings290.9170401/04/2014
01/04/2014,Production,Engineerings,13.164,Bricks,Great Britain,2014AprProduction-Engineerings13.1640401/04/2014
01/04/2014,Deliveries(from),Engineerings,14.933,Bricks,Great Britain,2014AprDeliveries(from)-Engineerings14.9330401/04/2014
01/04/2014,Stocks,Engineerings,14.274,Bricks,Great Britain,2014AprStocks-Engineerings14.2740401/04/2014
01/05/2014,Seasonally Adjusted Deliveries,All Types,147.3725265,Bricks,Great Britain,2014MaySeasonally Adjusted Deliveries-All Types147.37252650501/05/2014
01/05/2014,Production,All Types,159.935,Bricks,Great Britain,2014MayProduction-All Types159.9350501/05/2014
01/05/2014,Deliveries(from),All Types,158.439,Bricks,Great Britain,2014MayDeliveries(from)-All Types158.4390501/05/2014
