Date,Geographical Region,Building Material Type,Other Building Material Type,Production/Deliveries/Stocks,Th.sq.m. of roof area covered,Unique_Key
1/4/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3131.436,1/4/2013Great BritainOther Building MaterialsConcrete Roofing TilesStocks3131.436
1/7/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4550.463,1/7/2013Great BritainOther Building MaterialsConcrete Roofing TilesProduction4550.463
1/7/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5467.966,1/7/2013Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5467.966
1/7/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2213.933,1/7/2013Great BritainOther Building MaterialsConcrete Roofing TilesStocks2213.933
1/10/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5470.75,1/10/2013Great BritainOther Building MaterialsConcrete Roofing TilesProduction5470.75
1/10/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5459.412,1/10/2013Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5459.412
1/10/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2214.339,1/10/2013Great BritainOther Building MaterialsConcrete Roofing TilesStocks2214.339
1/1/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6150.771,1/1/2014Great BritainOther Building MaterialsConcrete Roofing TilesProduction6150.771
1/1/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5413.645,1/1/2014Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5413.645
1/1/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2931.758,1/1/2014Great BritainOther Building MaterialsConcrete Roofing TilesStocks2931.758
1/4/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6194.998,1/4/2014Great BritainOther Building MaterialsConcrete Roofing TilesProduction6194.998
1/4/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5491.496,1/4/2014Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5491.496
1/4/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3687.197,1/4/2014Great BritainOther Building MaterialsConcrete Roofing TilesStocks3687.197
1/7/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5815.308,1/7/2014Great BritainOther Building MaterialsConcrete Roofing TilesProduction5815.308
1/7/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6237.918,1/7/2014Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6237.918
1/7/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3260.905,1/7/2014Great BritainOther Building MaterialsConcrete Roofing TilesStocks3260.905
1/10/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5925.074,1/10/2014Great BritainOther Building MaterialsConcrete Roofing TilesProduction5925.074
1/10/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5914.981,1/10/2014Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5914.981
1/10/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3274.68,1/10/2014Great BritainOther Building MaterialsConcrete Roofing TilesStocks3274.68
1/1/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6547.313,1/1/2015Great BritainOther Building MaterialsConcrete Roofing TilesProduction6547.313
1/1/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5399.887,1/1/2015Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5399.887
1/1/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4422.106,1/1/2015Great BritainOther Building MaterialsConcrete Roofing TilesStocks4422.106
1/4/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6296.391,1/4/2015Great BritainOther Building MaterialsConcrete Roofing TilesProduction6296.391
1/4/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5843.296,1/4/2015Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5843.296
1/4/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4875.201,1/4/2015Great BritainOther Building MaterialsConcrete Roofing TilesStocks4875.201
1/7/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5696.54,1/7/2015Great BritainOther Building MaterialsConcrete Roofing TilesProduction5696.54
1/7/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6419.925,1/7/2015Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6419.925
1/7/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4151.816,1/7/2015Great BritainOther Building MaterialsConcrete Roofing TilesStocks4151.816
1/10/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6564.897,1/10/2015Great BritainOther Building MaterialsConcrete Roofing TilesProduction6564.897
1/10/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6812.32,1/10/2015Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6812.32
1/10/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3904.393,1/10/2015Great BritainOther Building MaterialsConcrete Roofing TilesStocks3904.393
1/1/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6323.44,1/1/2016Great BritainOther Building MaterialsConcrete Roofing TilesProduction6323.44
1/1/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5836.536,1/1/2016Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5836.536
1/1/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4391.296,1/1/2016Great BritainOther Building MaterialsConcrete Roofing TilesStocks4391.296
1/4/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6082.018,1/4/2016Great BritainOther Building MaterialsConcrete Roofing TilesProduction6082.018
1/4/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6291.621,1/4/2016Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6291.621
1/4/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4184.694,1/4/2016Great BritainOther Building MaterialsConcrete Roofing TilesStocks4184.694
1/7/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5857.045,1/7/2016Great BritainOther Building MaterialsConcrete Roofing TilesProduction5857.045
1/7/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6912.414,1/7/2016Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6912.414
1/7/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3129.325,1/7/2016Great BritainOther Building MaterialsConcrete Roofing TilesStocks3129.325
1/10/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6352.22,1/10/2016Great BritainOther Building MaterialsConcrete Roofing TilesProduction6352.22
1/10/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6792.152,1/10/2016Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6792.152
1/10/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2689.393,1/10/2016Great BritainOther Building MaterialsConcrete Roofing TilesStocks2689.393
1/1/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,7050.329,1/1/2017Great BritainOther Building MaterialsConcrete Roofing TilesProduction7050.329
1/1/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6771.708,1/1/2017Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6771.708
1/1/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2967.948,1/1/2017Great BritainOther Building MaterialsConcrete Roofing TilesStocks2967.948
1/4/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6753.629,1/4/2017Great BritainOther Building MaterialsConcrete Roofing TilesProduction6753.629
1/4/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6862.075,1/4/2017Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6862.075
1/4/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2859.502,1/4/2017Great BritainOther Building MaterialsConcrete Roofing TilesStocks2859.502
1/7/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6546.219,1/7/2017Great BritainOther Building MaterialsConcrete Roofing TilesProduction6546.219
1/7/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6665.461,1/7/2017Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6665.461
1/7/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2740.26,1/7/2017Great BritainOther Building MaterialsConcrete Roofing TilesStocks2740.26
1/10/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5760.661,1/10/2017Great BritainOther Building MaterialsConcrete Roofing TilesProduction5760.661
1/10/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5441.867,1/10/2017Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5441.867
1/10/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2492.339,1/10/2017Great BritainOther Building MaterialsConcrete Roofing TilesStocks2492.339
1/1/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,7816.79,1/1/2018Great BritainOther Building MaterialsConcrete Roofing TilesProduction7816.79
1/1/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5741.954,1/1/2018Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5741.954
1/1/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,5143.458,1/1/2018Great BritainOther Building MaterialsConcrete Roofing TilesStocks5143.458
1/4/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4827.778,1/4/2018Great BritainOther Building MaterialsConcrete Roofing TilesProduction4827.778
1/4/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6221.409,1/4/2018Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6221.409
1/4/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4444.426,1/4/2018Great BritainOther Building MaterialsConcrete Roofing TilesStocks4444.426
1/7/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6884.454,1/7/2018Great BritainOther Building MaterialsConcrete Roofing TilesProduction6884.454
1/7/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,7279.994,1/7/2018Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries7279.994
1/7/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,5366.891,1/7/2018Great BritainOther Building MaterialsConcrete Roofing TilesStocks5366.891
1/10/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,7401.712,1/10/2018Great BritainOther Building MaterialsConcrete Roofing TilesProduction7401.712
1/10/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6865.555,1/10/2018Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6865.555
1/10/2018,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,5903.048,1/10/2018Great BritainOther Building MaterialsConcrete Roofing TilesStocks5903.048
1/1/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6963.015,1/1/2019Great BritainOther Building MaterialsConcrete Roofing TilesProduction6963.015
1/1/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6960.969,1/1/2019Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6960.969
1/1/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,5905.094,1/1/2019Great BritainOther Building MaterialsConcrete Roofing TilesStocks5905.094
1/4/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5363.859,1/4/2019Great BritainOther Building MaterialsConcrete Roofing TilesProduction5363.859
1/4/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5511.739,1/4/2019Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5511.739
1/4/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4239.145,1/4/2019Great BritainOther Building MaterialsConcrete Roofing TilesStocks4239.145
1/7/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5999.983,1/7/2019Great BritainOther Building MaterialsConcrete Roofing TilesProduction5999.983
1/7/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,7843.534,1/7/2019Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries7843.534
1/7/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3913.663,1/7/2019Great BritainOther Building MaterialsConcrete Roofing TilesStocks3913.663
1/10/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,7600.508,1/10/2019Great BritainOther Building MaterialsConcrete Roofing TilesProduction7600.508
1/10/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,7515.655,1/10/2019Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries7515.655
1/10/2019,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3998.515,1/10/2019Great BritainOther Building MaterialsConcrete Roofing TilesStocks3998.515
1/1/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4023.898,1/1/2020Great BritainOther Building MaterialsConcrete Roofing TilesProduction4023.898
1/1/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,3636.801,1/1/2020Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries3636.801
1/1/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2674.925,1/1/2020Great BritainOther Building MaterialsConcrete Roofing TilesStocks2674.925
1/4/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,2240.032,1/4/2020Great BritainOther Building MaterialsConcrete Roofing TilesProduction2240.032
1/4/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,3382.187,1/4/2020Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries3382.187
1/4/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2685.77,1/4/2020Great BritainOther Building MaterialsConcrete Roofing TilesStocks2685.77
1/7/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5211.941,1/7/2020Great BritainOther Building MaterialsConcrete Roofing TilesProduction5211.941
1/7/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5398.7,1/7/2020Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5398.7
1/7/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2498.711,1/7/2020Great BritainOther Building MaterialsConcrete Roofing TilesStocks2498.711
1/10/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4756.394,1/10/2020Great BritainOther Building MaterialsConcrete Roofing TilesProduction4756.394
1/10/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5414.405,1/10/2020Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5414.405
1/10/2020,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,1840.7,1/10/2020Great BritainOther Building MaterialsConcrete Roofing TilesStocks1840.7
1/1/2021,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6080.321,1/1/2021Great BritainOther Building MaterialsConcrete Roofing TilesProduction6080.321
1/1/2021,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5917.631,1/1/2021Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5917.631
1/1/2021,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2003.39,1/1/2021Great BritainOther Building MaterialsConcrete Roofing TilesStocks2003.39
1/4/2021,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,3930.05,1/4/2021Great BritainOther Building MaterialsConcrete Roofing TilesProduction3930.05
1/4/2021,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,3990.325,1/4/2021Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries3990.325
1/4/2021,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,1657.545,1/4/2021Great BritainOther Building MaterialsConcrete Roofing TilesStocks1657.545
