Date,Production/Deliveries/Stocks,Brick Type,Millions of Bricks,Building Material Type,Geographical Region,Unique_Key
01/08/2019,Seasonally Adjusted Deliveries,All Types,161.7155206,Bricks,Great Britain,2019AugustSeasonally Adjusted Deliveries-All Types161.71552060801/08/2019
01/08/2019,Production,All Types,173392000,Bricks,Great Britain,2019AugustProduction-All Types1733920000801/08/2019
01/08/2019,Deliveries(from),All Types,162773000,Bricks,Great Britain,2019AugustDeliveries(from)-All Types1627730000801/08/2019
01/08/2019,Stocks,All Types,390141000,Bricks,Great Britain,2019AugustStocks-All Types3901410000801/08/2019
01/08/2019,Production,Commons,9849000,Bricks,Great Britain,2019AugustProduction-Commons98490000801/08/2019
01/08/2019,Deliveries(from),Commons,8806000,Bricks,Great Britain,2019AugustDeliveries(from)-Commons88060000801/08/2019
01/08/2019,Stocks,Commons,34051000,Bricks,Great Britain,2019AugustStocks-Commons340510000801/08/2019
01/08/2019,Production,Facings,149992000,Bricks,Great Britain,2019AugustProduction-Facings1499920000801/08/2019
01/08/2019,Deliveries(from),Facings,142638000,Bricks,Great Britain,2019AugustDeliveries(from)-Facings1426380000801/08/2019
01/08/2019,Stocks,Facings,337276000,Bricks,Great Britain,2019AugustStocks-Facings3372760000801/08/2019
01/08/2019,Production,Engineerings,13551000,Bricks,Great Britain,2019AugustProduction-Engineerings135510000801/08/2019
01/08/2019,Deliveries(from),Engineerings,11329000,Bricks,Great Britain,2019AugustDeliveries(from)-Engineerings113290000801/08/2019
01/08/2019,Stocks,Engineerings,18814000,Bricks,Great Britain,2019AugustStocks-Engineerings188140000801/08/2019
01/09/2019,Seasonally Adjusted Deliveries,All Types,173.4060322,Bricks,Great Britain,2019SeptemberSeasonally Adjusted Deliveries-All Types173.40603220901/09/2019
01/09/2019,Production,All Types,179524000,Bricks,Great Britain,2019SeptemberProduction-All Types1795240000901/09/2019
01/09/2019,Deliveries(from),All Types,177935000,Bricks,Great Britain,2019SeptemberDeliveries(from)-All Types1779350000901/09/2019
01/09/2019,Stocks,All Types,391730000,Bricks,Great Britain,2019SeptemberStocks-All Types3917300000901/09/2019
01/09/2019,Production,Commons,9977000,Bricks,Great Britain,2019SeptemberProduction-Commons99770000901/09/2019
01/09/2019,Deliveries(from),Commons,9580000,Bricks,Great Britain,2019SeptemberDeliveries(from)-Commons95800000901/09/2019
01/09/2019,Stocks,Commons,34448000,Bricks,Great Britain,2019SeptemberStocks-Commons344480000901/09/2019
01/09/2019,Production,Facings,158820000,Bricks,Great Britain,2019SeptemberProduction-Facings1588200000901/09/2019
01/09/2019,Deliveries(from),Facings,155205000,Bricks,Great Britain,2019SeptemberDeliveries(from)-Facings1552050000901/09/2019
01/09/2019,Stocks,Facings,340891000,Bricks,Great Britain,2019SeptemberStocks-Facings3408910000901/09/2019
01/09/2019,Production,Engineerings,10727000,Bricks,Great Britain,2019SeptemberProduction-Engineerings107270000901/09/2019
01/09/2019,Deliveries(from),Engineerings,13150000,Bricks,Great Britain,2019SeptemberDeliveries(from)-Engineerings131500000901/09/2019
01/09/2019,Stocks,Engineerings,16391000,Bricks,Great Britain,2019SeptemberStocks-Engineerings163910000901/09/2019
01/10/2019,Seasonally Adjusted Deliveries,All Types,158.4794959,Bricks,Great Britain,2019OctoberSeasonally Adjusted Deliveries-All Types158.47949591001/10/2019
01/10/2019,Production,All Types,189654000,Bricks,Great Britain,2019OctoberProduction-All Types1896540001001/10/2019
01/10/2019,Deliveries(from),All Types,181327000,Bricks,Great Britain,2019OctoberDeliveries(from)-All Types1813270001001/10/2019
01/10/2019,Stocks,All Types,400056000,Bricks,Great Britain,2019OctoberStocks-All Types4000560001001/10/2019
01/10/2019,Production,Commons,11520000,Bricks,Great Britain,2019OctoberProduction-Commons115200001001/10/2019
