Date,Production/Deliveries/Stocks,Brick Type,Millions of Bricks,Building Material Type,Geographical Region,Unique_Key
01/10/2019,Deliveries(from),Commons,9959000,Bricks,Great Britain,2019OctoberDeliveries(from)-Commons99590001001/10/2019
01/10/2019,Stocks,Commons,36009000,Bricks,Great Britain,2019OctoberStocks-Commons360090001001/10/2019
01/10/2019,Production,Facings,166029000,Bricks,Great Britain,2019OctoberProduction-Facings1660290001001/10/2019
01/10/2019,Deliveries(from),Facings,157315000,Bricks,Great Britain,2019OctoberDeliveries(from)-Facings1573150001001/10/2019
01/10/2019,Stocks,Facings,349604000,Bricks,Great Britain,2019OctoberStocks-Facings3496040001001/10/2019
01/10/2019,Production,Engineerings,12105000,Bricks,Great Britain,2019OctoberProduction-Engineerings121050001001/10/2019
01/10/2019,Deliveries(from),Engineerings,14053000,Bricks,Great Britain,2019OctoberDeliveries(from)-Engineerings140530001001/10/2019
01/10/2019,Stocks,Engineerings,14443000,Bricks,Great Britain,2019OctoberStocks-Engineerings144430001001/10/2019
01/11/2019,Seasonally Adjusted Deliveries,All Types,158.2346042,Bricks,Great Britain,2019NovemberSeasonally Adjusted Deliveries-All Types158.23460421101/11/2019
01/11/2019,Production,All Types,182751000,Bricks,Great Britain,2019NovemberProduction-All Types1827510001101/11/2019
01/11/2019,Deliveries(from),All Types,163346000,Bricks,Great Britain,2019NovemberDeliveries(from)-All Types1633460001101/11/2019
01/11/2019,Stocks,All Types,419461000,Bricks,Great Britain,2019NovemberStocks-All Types4194610001101/11/2019
01/11/2019,Production,Commons,11496000,Bricks,Great Britain,2019NovemberProduction-Commons114960001101/11/2019
01/11/2019,Deliveries(from),Commons,8177000,Bricks,Great Britain,2019NovemberDeliveries(from)-Commons81770001101/11/2019
01/11/2019,Stocks,Commons,39328000,Bricks,Great Britain,2019NovemberStocks-Commons393280001101/11/2019
01/11/2019,Production,Facings,155729000,Bricks,Great Britain,2019NovemberProduction-Facings1557290001101/11/2019
01/11/2019,Deliveries(from),Facings,143493000,Bricks,Great Britain,2019NovemberDeliveries(from)-Facings1434930001101/11/2019
01/11/2019,Stocks,Facings,361840000,Bricks,Great Britain,2019NovemberStocks-Facings3618400001101/11/2019
01/11/2019,Production,Engineerings,15526000,Bricks,Great Britain,2019NovemberProduction-Engineerings155260001101/11/2019
01/11/2019,Deliveries(from),Engineerings,11676000,Bricks,Great Britain,2019NovemberDeliveries(from)-Engineerings116760001101/11/2019
01/11/2019,Stocks,Engineerings,18293000,Bricks,Great Britain,2019NovemberStocks-Engineerings182930001101/11/2019
01/12/2019,Seasonally Adjusted Deliveries,All Types,171.6230367,Bricks,Great Britain,2019DecemberSeasonally Adjusted Deliveries-All Types171.62303671201/12/2019
01/12/2019,Production,All Types,,Bricks,Great Britain,2019DecemberProduction-All Typesc1201/12/2019
01/12/2019,Deliveries(from),All Types,132851000,Bricks,Great Britain,2019DecemberDeliveries(from)-All Types1328510001201/12/2019
01/12/2019,Stocks,All Types,424370000,Bricks,Great Britain,2019DecemberStocks-All Types4243700001201/12/2019
01/12/2019,Production,Commons,5315000,Bricks,Great Britain,2019DecemberProduction-Commons53150001201/12/2019
01/12/2019,Deliveries(from),Commons,5865000,Bricks,Great Britain,2019DecemberDeliveries(from)-Commons58650001201/12/2019
01/12/2019,Stocks,Commons,38778000,Bricks,Great Britain,2019DecemberStocks-Commons387780001201/12/2019
01/12/2019,Production,Facings,121358000,Bricks,Great Britain,2019DecemberProduction-Facings1213580001201/12/2019
01/12/2019,Deliveries(from),Facings,116321000,Bricks,Great Britain,2019DecemberDeliveries(from)-Facings1163210001201/12/2019
01/12/2019,Stocks,Facings,366877000,Bricks,Great Britain,2019DecemberStocks-Facings3668770001201/12/2019
01/12/2019,Production,Engineerings,,Bricks,Great Britain,2019DecemberProduction-Engineeringsc1201/12/2019
01/12/2019,Deliveries(from),Engineerings,10665000,Bricks,Great Britain,2019DecemberDeliveries(from)-Engineerings106650001201/12/2019
01/12/2019,Stocks,Engineerings,18715000,Bricks,Great Britain,2019DecemberStocks-Engineerings187150001201/12/2019
01/01/2020,Seasonally Adjusted Deliveries,All Types,157.2241574,Bricks,Great Britain,2020JanuarySeasonally Adjusted Deliveries-All Types157.22415740101/01/2020
01/01/2020,Production,All Types,150892000,Bricks,Great Britain,2020JanuaryProduction-All Types1508920000101/01/2020
01/01/2020,Deliveries(from),All Types,132188000,Bricks,Great Britain,2020JanuaryDeliveries(from)-All Types1321880000101/01/2020
01/01/2020,Stocks,All Types,443072000,Bricks,Great Britain,2020JanuaryStocks-All Types4430720000101/01/2020
01/01/2020,Production,Commons,8175000,Bricks,Great Britain,2020JanuaryProduction-Commons81750000101/01/2020
01/01/2020,Deliveries(from),Commons,8299000,Bricks,Great Britain,2020JanuaryDeliveries(from)-Commons82990000101/01/2020
01/01/2020,Stocks,Commons,38654000,Bricks,Great Britain,2020JanuaryStocks-Commons386540000101/01/2020
01/01/2020,Production,Facings,128745000,Bricks,Great Britain,2020JanuaryProduction-Facings1287450000101/01/2020
01/01/2020,Deliveries(from),Facings,116910000,Bricks,Great Britain,2020JanuaryDeliveries(from)-Facings1169100000101/01/2020
01/01/2020,Stocks,Facings,378710000,Bricks,Great Britain,2020JanuaryStocks-Facings3787100000101/01/2020
01/01/2020,Production,Engineerings,13972000,Bricks,Great Britain,2020JanuaryProduction-Engineerings139720000101/01/2020
01/01/2020,Deliveries(from),Engineerings,6979000,Bricks,Great Britain,2020JanuaryDeliveries(from)-Engineerings69790000101/01/2020
01/01/2020,Stocks,Engineerings,25708000,Bricks,Great Britain,2020JanuaryStocks-Engineerings257080000101/01/2020
01/02/2020,Seasonally Adjusted Deliveries,All Types,158.3977625,Bricks,Great Britain,2020FebruarySeasonally Adjusted Deliveries-All Types158.39776250201/02/2020
01/02/2020,Production,All Types,166028000,Bricks,Great Britain,2020FebruaryProduction-All Types1660280000201/02/2020
01/02/2020,Deliveries(from),All Types,141076000,Bricks,Great Britain,2020FebruaryDeliveries(from)-All Types1410760000201/02/2020
01/02/2020,Stocks,All Types,468024000,Bricks,Great Britain,2020FebruaryStocks-All Types4680240000201/02/2020
01/02/2020,Production,Commons,10156000,Bricks,Great Britain,2020FebruaryProduction-Commons101560000201/02/2020
01/02/2020,Deliveries(from),Commons,9418000,Bricks,Great Britain,2020FebruaryDeliveries(from)-Commons94180000201/02/2020
01/02/2020,Stocks,Commons,39392000,Bricks,Great Britain,2020FebruaryStocks-Commons393920000201/02/2020
01/02/2020,Production,Facings,145147000,Bricks,Great Britain,2020FebruaryProduction-Facings1451470000201/02/2020
01/02/2020,Deliveries(from),Facings,122461000,Bricks,Great Britain,2020FebruaryDeliveries(from)-Facings1224610000201/02/2020
01/02/2020,Stocks,Facings,401396000,Bricks,Great Britain,2020FebruaryStocks-Facings4013960000201/02/2020
01/02/2020,Production,Engineerings,10725000,Bricks,Great Britain,2020FebruaryProduction-Engineerings107250000201/02/2020
01/02/2020,Deliveries(from),Engineerings,9197000,Bricks,Great Britain,2020FebruaryDeliveries(from)-Engineerings91970000201/02/2020
01/02/2020,Stocks,Engineerings,27236000,Bricks,Great Britain,2020FebruaryStocks-Engineerings272360000201/02/2020
01/03/2020,Seasonally Adjusted Deliveries,All Types,113.7941996,Bricks,Great Britain,2020MarchSeasonally Adjusted Deliveries-All Types113.79419960301/03/2020
01/03/2020,Production,All Types,138954000,Bricks,Great Britain,2020MarchProduction-All Types1389540000301/03/2020
01/03/2020,Deliveries(from),All Types,122038000,Bricks,Great Britain,2020MarchDeliveries(from)-All Types1220380000301/03/2020
01/03/2020,Stocks,All Types,484940000,Bricks,Great Britain,2020MarchStocks-All Types4849400000301/03/2020
01/03/2020,Production,Commons,7877000,Bricks,Great Britain,2020MarchProduction-Commons78770000301/03/2020
01/03/2020,Deliveries(from),Commons,7264000,Bricks,Great Britain,2020MarchDeliveries(from)-Commons72640000301/03/2020
01/03/2020,Stocks,Commons,40005000,Bricks,Great Britain,2020MarchStocks-Commons400050000301/03/2020
01/03/2020,Production,Facings,120774000,Bricks,Great Britain,2020MarchProduction-Facings1207740000301/03/2020
01/03/2020,Deliveries(from),Facings,106540000,Bricks,Great Britain,2020MarchDeliveries(from)-Facings1065400000301/03/2020
01/03/2020,Stocks,Facings,415630000,Bricks,Great Britain,2020MarchStocks-Facings4156300000301/03/2020
01/03/2020,Production,Engineerings,10303000,Bricks,Great Britain,2020MarchProduction-Engineerings103030000301/03/2020
01/03/2020,Deliveries(from),Engineerings,8234000,Bricks,Great Britain,2020MarchDeliveries(from)-Engineerings82340000301/03/2020
01/03/2020,Stocks,Engineerings,29305000,Bricks,Great Britain,2020MarchStocks-Engineerings293050000301/03/2020
01/04/2020,Seasonally Adjusted Deliveries,All Types,20.53147061,Bricks,Great Britain,2020AprilSeasonally Adjusted Deliveries-All Types20.531470610401/04/2020
01/04/2020,Production,All Types,3715000,Bricks,Great Britain,2020AprilProduction-All Types37150000401/04/2020
01/04/2020,Deliveries(from),All Types,22529000,Bricks,Great Britain,2020AprilDeliveries(from)-All Types225290000401/04/2020
01/04/2020,Stocks,All Types,466126000,Bricks,Great Britain,2020AprilStocks-All Types4661260000401/04/2020
01/04/2020,Production,Commons,,Bricks,Great Britain,2020AprilProduction-Commonsc0401/04/2020
01/04/2020,Deliveries(from),Commons,1684000,Bricks,Great Britain,2020AprilDeliveries(from)-Commons16840000401/04/2020
01/04/2020,Stocks,Commons,38545000,Bricks,Great Britain,2020AprilStocks-Commons385450000401/04/2020
01/04/2020,Production,Facings,3446000,Bricks,Great Britain,2020AprilProduction-Facings34460000401/04/2020
01/04/2020,Deliveries(from),Facings,17795000,Bricks,Great Britain,2020AprilDeliveries(from)-Facings177950000401/04/2020
01/04/2020,Stocks,Facings,401281000,Bricks,Great Britain,2020AprilStocks-Facings4012810000401/04/2020
01/04/2020,Production,Engineerings,,Bricks,Great Britain,2020AprilProduction-Engineeringsc0401/04/2020
01/04/2020,Deliveries(from),Engineerings,3050000,Bricks,Great Britain,2020AprilDeliveries(from)-Engineerings30500000401/04/2020
01/04/2020,Stocks,Engineerings,26300000,Bricks,Great Britain,2020AprilStocks-Engineerings263000000401/04/2020
01/05/2020,Seasonally Adjusted Deliveries,All Types,66.50903155,Bricks,Great Britain,2020MaySeasonally Adjusted Deliveries-All Types66.509031550501/05/2020
01/05/2020,Production,All Types,25836000,Bricks,Great Britain,2020MayProduction-All Types258360000501/05/2020
01/05/2020,Deliveries(from),All Types,69931000,Bricks,Great Britain,2020MayDeliveries(from)-All Types699310000501/05/2020
01/05/2020,Stocks,All Types,422031000,Bricks,Great Britain,2020MayStocks-All Types4220310000501/05/2020
01/05/2020,Production,Commons,,Bricks,Great Britain,2020MayProduction-Commonsc0501/05/2020
01/05/2020,Deliveries(from),Commons,4357000,Bricks,Great Britain,2020MayDeliveries(from)-Commons43570000501/05/2020
01/05/2020,Stocks,Commons,35930000,Bricks,Great Britain,2020MayStocks-Commons359300000501/05/2020
01/05/2020,Production,Facings,23584000,Bricks,Great Britain,2020MayProduction-Facings235840000501/05/2020
01/05/2020,Deliveries(from),Facings,58261000,Bricks,Great Britain,2020MayDeliveries(from)-Facings582610000501/05/2020
01/05/2020,Stocks,Facings,366604000,Bricks,Great Britain,2020MayStocks-Facings3666040000501/05/2020
01/05/2020,Production,Engineerings,,Bricks,Great Britain,2020MayProduction-Engineeringsc0501/05/2020
01/05/2020,Deliveries(from),Engineerings,7313000,Bricks,Great Britain,2020MayDeliveries(from)-Engineerings73130000501/05/2020
01/05/2020,Stocks,Engineerings,19497000,Bricks,Great Britain,2020MayStocks-Engineerings194970000501/05/2020
01/06/2020,Seasonally Adjusted Deliveries,All Types,105.0444854,Bricks,Great Britain,2020JuneSeasonally Adjusted Deliveries-All Types105.04448540601/06/2020
01/06/2020,Production,All Types,80290000,Bricks,Great Britain,2020JuneProduction-All Types802900000601/06/2020
01/06/2020,Deliveries(from),All Types,123402000,Bricks,Great Britain,2020JuneDeliveries(from)-All Types1234020000601/06/2020
01/06/2020,Stocks,All Types,378919000,Bricks,Great Britain,2020JuneStocks-All Types3789190000601/06/2020
01/06/2020,Production,Commons,6303000,Bricks,Great Britain,2020JuneProduction-Commons63030000601/06/2020
01/06/2020,Deliveries(from),Commons,8234000,Bricks,Great Britain,2020JuneDeliveries(from)-Commons82340000601/06/2020
01/06/2020,Stocks,Commons,33999000,Bricks,Great Britain,2020JuneStocks-Commons339990000601/06/2020
01/06/2020,Production,Facings,69356000,Bricks,Great Britain,2020JuneProduction-Facings693560000601/06/2020
01/06/2020,Deliveries(from),Facings,105575000,Bricks,Great Britain,2020JuneDeliveries(from)-Facings1055750000601/06/2020
01/06/2020,Stocks,Facings,330385000,Bricks,Great Britain,2020JuneStocks-Facings3303850000601/06/2020
01/06/2020,Production,Engineerings,4631000,Bricks,Great Britain,2020JuneProduction-Engineerings46310000601/06/2020
01/06/2020,Deliveries(from),Engineerings,9593000,Bricks,Great Britain,2020JuneDeliveries(from)-Engineerings95930000601/06/2020
01/06/2020,Stocks,Engineerings,14535000,Bricks,Great Britain,2020JuneStocks-Engineerings145350000601/06/2020
01/07/2020,Seasonally Adjusted Deliveries,All Types,140.4982802,Bricks,Great Britain,2020JulySeasonally Adjusted Deliveries-All Types140.49828020701/07/2020
01/07/2020,Production,All Types,135704000,Bricks,Great Britain,2020JulyProduction-All Types1357040000701/07/2020
01/07/2020,Deliveries(from),All Types,155987000,Bricks,Great Britain,2020JulyDeliveries(from)-All Types1559870000701/07/2020
01/07/2020,Stocks,All Types,358636000,Bricks,Great Britain,2020JulyStocks-All Types3586360000701/07/2020
01/07/2020,Production,Commons,,Bricks,Great Britain,2020JulyProduction-Commonsc0701/07/2020
01/07/2020,Deliveries(from),Commons,9049000,Bricks,Great Britain,2020JulyDeliveries(from)-Commons90490000701/07/2020
01/07/2020,Stocks,Commons,33007000,Bricks,Great Britain,2020JulyStocks-Commons330070000701/07/2020
01/07/2020,Production,Facings,115633000,Bricks,Great Britain,2020JulyProduction-Facings1156330000701/07/2020
01/07/2020,Deliveries(from),Facings,134669000,Bricks,Great Britain,2020JulyDeliveries(from)-Facings1346690000701/07/2020
01/07/2020,Stocks,Facings,311349000,Bricks,Great Britain,2020JulyStocks-Facings3113490000701/07/2020
01/07/2020,Production,Engineerings,,Bricks,Great Britain,2020JulyProduction-Engineeringsc0701/07/2020
01/07/2020,Deliveries(from),Engineerings,12269000,Bricks,Great Britain,2020JulyDeliveries(from)-Engineerings122690000701/07/2020
01/07/2020,Stocks,Engineerings,14280000,Bricks,Great Britain,2020JulyStocks-Engineerings142800000701/07/2020
01/08/2020,Seasonally Adjusted Deliveries,All Types,153.0508069,Bricks,Great Britain,2020AugustSeasonally Adjusted Deliveries-All Types153.05080690801/08/2020
01/08/2020,Production,All Types,142200000,Bricks,Great Britain,2020AugustProduction-All Types1422000000801/08/2020
01/08/2020,Deliveries(from),All Types,147178000,Bricks,Great Britain,2020AugustDeliveries(from)-All Types1471780000801/08/2020
01/08/2020,Stocks,All Types,353658000,Bricks,Great Britain,2020AugustStocks-All Types3536580000801/08/2020
01/08/2020,Production,Commons,,Bricks,Great Britain,2020AugustProduction-Commonsc0801/08/2020
01/08/2020,Deliveries(from),Commons,8405000,Bricks,Great Britain,2020AugustDeliveries(from)-Commons84050000801/08/2020
01/08/2020,Stocks,Commons,34973000,Bricks,Great Britain,2020AugustStocks-Commons349730000801/08/2020
01/08/2020,Production,Facings,119623000,Bricks,Great Britain,2020AugustProduction-Facings1196230000801/08/2020
01/08/2020,Deliveries(from),Facings,125988000,Bricks,Great Britain,2020AugustDeliveries(from)-Facings1259880000801/08/2020
01/08/2020,Stocks,Facings,304984000,Bricks,Great Britain,2020AugustStocks-Facings3049840000801/08/2020
01/08/2020,Production,Engineerings,,Bricks,Great Britain,2020AugustProduction-Engineeringsc0801/08/2020
01/08/2020,Deliveries(from),Engineerings,12785000,Bricks,Great Britain,2020AugustDeliveries(from)-Engineerings127850000801/08/2020
01/08/2020,Stocks,Engineerings,13701000,Bricks,Great Britain,2020AugustStocks-Engineerings137010000801/08/2020
01/09/2020,Seasonally Adjusted Deliveries,All Types,152.3417697,Bricks,Great Britain,2020SeptemberSeasonally Adjusted Deliveries-All Types152.34176970901/09/2020
01/09/2020,Production,All Types,149280000,Bricks,Great Britain,2020SeptemberProduction-All Types1492800000901/09/2020
01/09/2020,Deliveries(from),All Types,165275000,Bricks,Great Britain,2020SeptemberDeliveries(from)-All Types1652750000901/09/2020
01/09/2020,Stocks,All Types,337663000,Bricks,Great Britain,2020SeptemberStocks-All Types3376630000901/09/2020
01/09/2020,Production,Commons,9977000,Bricks,Great Britain,2020SeptemberProduction-Commons99770000901/09/2020
01/09/2020,Deliveries(from),Commons,9754000,Bricks,Great Britain,2020SeptemberDeliveries(from)-Commons97540000901/09/2020
01/09/2020,Stocks,Commons,35196000,Bricks,Great Britain,2020SeptemberStocks-Commons351960000901/09/2020
01/09/2020,Production,Facings,127521000,Bricks,Great Britain,2020SeptemberProduction-Facings1275210000901/09/2020
01/09/2020,Deliveries(from),Facings,143237000,Bricks,Great Britain,2020SeptemberDeliveries(from)-Facings1432370000901/09/2020
01/09/2020,Stocks,Facings,289268000,Bricks,Great Britain,2020SeptemberStocks-Facings2892680000901/09/2020
01/09/2020,Production,Engineerings,11782000,Bricks,Great Britain,2020SeptemberProduction-Engineerings117820000901/09/2020
01/09/2020,Deliveries(from),Engineerings,12284000,Bricks,Great Britain,2020SeptemberDeliveries(from)-Engineerings122840000901/09/2020
01/09/2020,Stocks,Engineerings,13199000,Bricks,Great Britain,2020SeptemberStocks-Engineerings131990000901/09/2020
01/10/2020,Seasonally Adjusted Deliveries,All Types,155.2868741,Bricks,Great Britain,2020OctoberSeasonally Adjusted Deliveries-All Types155.28687411001/10/2020
01/10/2020,Production,All Types,156575000,Bricks,Great Britain,2020OctoberProduction-All Types1565750001001/10/2020
01/10/2020,Deliveries(from),All Types,167009000,Bricks,Great Britain,2020OctoberDeliveries(from)-All Types1670090001001/10/2020
01/10/2020,Stocks,All Types,327229000,Bricks,Great Britain,2020OctoberStocks-All Types3272290001001/10/2020
01/10/2020,Production,Commons,,Bricks,Great Britain,2020OctoberProduction-Commonsc1001/10/2020
01/10/2020,Deliveries(from),Commons,9229000,Bricks,Great Britain,2020OctoberDeliveries(from)-Commons92290001001/10/2020
01/10/2020,Stocks,Commons,34922000,Bricks,Great Britain,2020OctoberStocks-Commons349220001001/10/2020
01/10/2020,Production,Facings,136386000,Bricks,Great Britain,2020OctoberProduction-Facings1363860001001/10/2020
01/10/2020,Deliveries(from),Facings,144703000,Bricks,Great Britain,2020OctoberDeliveries(from)-Facings1447030001001/10/2020
01/10/2020,Stocks,Facings,280951000,Bricks,Great Britain,2020OctoberStocks-Facings2809510001001/10/2020
01/10/2020,Production,Engineerings,,Bricks,Great Britain,2020OctoberProduction-Engineeringsc1001/10/2020
01/10/2020,Deliveries(from),Engineerings,13077000,Bricks,Great Britain,2020OctoberDeliveries(from)-Engineerings130770001001/10/2020
01/10/2020,Stocks,Engineerings,11356000,Bricks,Great Britain,2020OctoberStocks-Engineerings113560001001/10/2020
01/11/2020,Seasonally Adjusted Deliveries,All Types,158.4346593,Bricks,Great Britain,2020NovemberSeasonally Adjusted Deliveries-All Types158.43465931101/11/2020
01/11/2020,Production,All Types,163511000,Bricks,Great Britain,2020NovemberProduction-All Types1635110001101/11/2020
01/11/2020,Deliveries(from),All Types,163941000,Bricks,Great Britain,2020NovemberDeliveries(from)-All Types1639410001101/11/2020
01/11/2020,Stocks,All Types,326799000,Bricks,Great Britain,2020NovemberStocks-All Types3267990001101/11/2020
01/11/2020,Production,Commons,,Bricks,Great Britain,2020NovemberProduction-Commonsc1101/11/2020
01/11/2020,Deliveries(from),Commons,9269000,Bricks,Great Britain,2020NovemberDeliveries(from)-Commons92690001101/11/2020
01/11/2020,Stocks,Commons,34107000,Bricks,Great Britain,2020NovemberStocks-Commons341070001101/11/2020
01/11/2020,Production,Facings,140616000,Bricks,Great Britain,2020NovemberProduction-Facings1406160001101/11/2020
01/11/2020,Deliveries(from),Facings,140697000,Bricks,Great Britain,2020NovemberDeliveries(from)-Facings1406970001101/11/2020
01/11/2020,Stocks,Facings,280870000,Bricks,Great Britain,2020NovemberStocks-Facings2808700001101/11/2020
01/11/2020,Production,Engineerings,,Bricks,Great Britain,2020NovemberProduction-Engineeringsc1101/11/2020
01/11/2020,Deliveries(from),Engineerings,13975000,Bricks,Great Britain,2020NovemberDeliveries(from)-Engineerings139750001101/11/2020
01/11/2020,Stocks,Engineerings,11822000,Bricks,Great Britain,2020NovemberStocks-Engineerings118220001101/11/2020
01/12/2020,Seasonally Adjusted Deliveries,All Types,162.3400762,Bricks,Great Britain,2020DecemberSeasonally Adjusted Deliveries-All Types162.34007621201/12/2020
01/12/2020,Production,All Types,113669000,Bricks,Great Britain,2020DecemberProduction-All Types1136690001201/12/2020
01/12/2020,Deliveries(from),All Types,132494000,Bricks,Great Britain,2020DecemberDeliveries(from)-All Types1324940001201/12/2020
01/12/2020,Stocks,All Types,307967000,Bricks,Great Britain,2020DecemberStocks-All Types3079670001201/12/2020
01/12/2020,Production,Commons,6059000,Bricks,Great Britain,2020DecemberProduction-Commons60590001201/12/2020
01/12/2020,Deliveries(from),Commons,12521000,Bricks,Great Britain,2020DecemberDeliveries(from)-Commons125210001201/12/2020
01/12/2020,Stocks,Commons,27645000,Bricks,Great Britain,2020DecemberStocks-Commons276450001201/12/2020
01/12/2020,Production,Facings,96027000,Bricks,Great Britain,2020DecemberProduction-Facings960270001201/12/2020
01/12/2020,Deliveries(from),Facings,107374000,Bricks,Great Britain,2020DecemberDeliveries(from)-Facings1073740001201/12/2020
01/12/2020,Stocks,Facings,269516000,Bricks,Great Britain,2020DecemberStocks-Facings2695160001201/12/2020
01/12/2020,Production,Engineerings,11583000,Bricks,Great Britain,2020DecemberProduction-Engineerings115830001201/12/2020
01/12/2020,Deliveries(from),Engineerings,12599000,Bricks,Great Britain,2020DecemberDeliveries(from)-Engineerings125990001201/12/2020
01/12/2020,Stocks,Engineerings,10806000,Bricks,Great Britain,2020DecemberStocks-Engineerings108060001201/12/2020
01/01/2021,Seasonally Adjusted Deliveries,All Types,160.3835106,Bricks,Great Britain,2021JanuarySeasonally Adjusted Deliveries-All Types160.38351060101/01/2021
01/01/2021,Production,All Types,124668000,Bricks,Great Britain,2021JanuaryProduction-All Types1246680000101/01/2021
01/01/2021,Deliveries(from),All Types,122469000,Bricks,Great Britain,2021JanuaryDeliveries(from)-All Types1224690000101/01/2021
01/01/2021,Stocks,All Types,310166000,Bricks,Great Britain,2021JanuaryStocks-All Types3101660000101/01/2021
01/01/2021,Production,Commons,8166000,Bricks,Great Britain,2021JanuaryProduction-Commons81660000101/01/2021
01/01/2021,Deliveries(from),Commons,7169000,Bricks,Great Britain,2021JanuaryDeliveries(from)-Commons71690000101/01/2021
01/01/2021,Stocks,Commons,28642000,Bricks,Great Britain,2021JanuaryStocks-Commons286420000101/01/2021
01/01/2021,Production,Facings,105999000,Bricks,Great Britain,2021JanuaryProduction-Facings1059990000101/01/2021
01/01/2021,Deliveries(from),Facings,107275000,Bricks,Great Britain,2021JanuaryDeliveries(from)-Facings1072750000101/01/2021
01/01/2021,Stocks,Facings,268240000,Bricks,Great Britain,2021JanuaryStocks-Facings2682400000101/01/2021
01/01/2021,Production,Engineerings,10503000,Bricks,Great Britain,2021JanuaryProduction-Engineerings105030000101/01/2021
01/01/2021,Deliveries(from),Engineerings,8025000,Bricks,Great Britain,2021JanuaryDeliveries(from)-Engineerings80250000101/01/2021
01/01/2021,Stocks,Engineerings,13284000,Bricks,Great Britain,2021JanuaryStocks-Engineerings132840000101/01/2021
01/02/2021,Seasonally Adjusted Deliveries,All Types,153.2405348,Bricks,Great Britain,2021FebruarySeasonally Adjusted Deliveries-All Types153.24053480201/02/2021
