Month,Work Type,Year," Weighted averages of Construction Producer Price Indices",month Int,Date,Geographical Region,Unique_Key
March,All Work,2020,111.2,03,01/03/2020,United Kingdom,MarchAll Work2020111.20301/03/2020United Kingdom
March,All Work,2021,120.3,03,01/03/2021,United Kingdom,MarchAll Work2021120.30301/03/2021United Kingdom
April,All Work,2016,98.3,04,01/04/2016,United Kingdom,AprilAll Work201698.30401/04/2016United Kingdom
April,All Work,2017,103.9,04,01/04/2017,United Kingdom,AprilAll Work2017103.90401/04/2017United Kingdom
April,All Work,2018,108.7,04,01/04/2018,United Kingdom,AprilAll Work2018108.70401/04/2018United Kingdom
April,All Work,2019,112.9,04,01/04/2019,United Kingdom,AprilAll Work2019112.90401/04/2019United Kingdom
April,All Work,2020,113.5,04,01/04/2020,United Kingdom,AprilAll Work2020113.50401/04/2020United Kingdom
April,All Work,2021,122.4,04,01/04/2021,United Kingdom,AprilAll Work2021122.40401/04/2021United Kingdom
May,All Work,2016,99.2,05,01/05/2016,United Kingdom,MayAll Work201699.20501/05/2016United Kingdom
May,All Work,2017,104,05,01/05/2017,United Kingdom,MayAll Work20171040501/05/2017United Kingdom
May,All Work,2018,109.3,05,01/05/2018,United Kingdom,MayAll Work2018109.30501/05/2018United Kingdom
May,All Work,2019,112.9,05,01/05/2019,United Kingdom,MayAll Work2019112.90501/05/2019United Kingdom
May,All Work,2020,113.9,05,01/05/2020,United Kingdom,MayAll Work2020113.90501/05/2020United Kingdom
May,All Work,2021,124.8,05,01/05/2021,United Kingdom,MayAll Work2021124.80501/05/2021United Kingdom
June,All Work,2016,99.5,06,01/06/2016,United Kingdom,JuneAll Work201699.50601/06/2016United Kingdom
June,All Work,2017,103.9,06,01/06/2017,United Kingdom,JuneAll Work2017103.90601/06/2017United Kingdom
June,All Work,2018,109.7,06,01/06/2018,United Kingdom,JuneAll Work2018109.70601/06/2018United Kingdom
June,All Work,2019,112.3,06,01/06/2019,United Kingdom,JuneAll Work2019112.30601/06/2019United Kingdom
June,All Work,2020,111.8,06,01/06/2020,United Kingdom,JuneAll Work2020111.80601/06/2020United Kingdom
June,All Work,2021,128.2,06,01/06/2021,United Kingdom,JuneAll Work2021128.20601/06/2021United Kingdom
July,All Work,2016,99.6,07,01/07/2016,United Kingdom,JulyAll Work201699.60701/07/2016United Kingdom
July,All Work,2017,104.1,07,01/07/2017,United Kingdom,JulyAll Work2017104.10701/07/2017United Kingdom
July,All Work,2018,110.1,07,01/07/2018,United Kingdom,JulyAll Work2018110.10701/07/2018United Kingdom
July,All Work,2019,112.7,07,01/07/2019,United Kingdom,JulyAll Work2019112.70701/07/2019United Kingdom
July,All Work,2020,111.6,07,01/07/2020,United Kingdom,JulyAll Work2020111.60701/07/2020United Kingdom
July,All Work,2021,134,07,01/07/2021,United Kingdom,JulyAll Work20211340701/07/2021United Kingdom
August,All Work,2016,99.8,08,01/08/2016,United Kingdom,AugustAll Work201699.80801/08/2016United Kingdom
August,All Work,2017,104.4,08,01/08/2017,United Kingdom,AugustAll Work2017104.40801/08/2017United Kingdom
August,All Work,2018,110.4,08,01/08/2018,United Kingdom,AugustAll Work2018110.40801/08/2018United Kingdom
August,All Work,2019,112.2,08,01/08/2019,United Kingdom,AugustAll Work2019112.20801/08/2019United Kingdom
August,All Work,2020,111.6,08,01/08/2020,United Kingdom,AugustAll Work2020111.60801/08/2020United Kingdom
August,All Work,2021,137.8,08,01/08/2021,United Kingdom,AugustAll Work2021137.80801/08/2021United Kingdom
September,All Work,2016,100.2,09,01/09/2016,United Kingdom,SeptemberAll Work2016100.20901/09/2016United Kingdom
September,All Work,2017,105.1,09,01/09/2017,United Kingdom,SeptemberAll Work2017105.10901/09/2017United Kingdom
September,All Work,2018,111,09,01/09/2018,United Kingdom,SeptemberAll Work20181110901/09/2018United Kingdom
September,All Work,2019,112.3,09,01/09/2019,United Kingdom,SeptemberAll Work2019112.30901/09/2019United Kingdom
September,All Work,2020,111.6,09,01/09/2020,United Kingdom,SeptemberAll Work2020111.60901/09/2020United Kingdom
September,All Work,2021,,09,01/09/2021,United Kingdom,SeptemberAll Work20210901/09/2021United Kingdom
October,All Work,2016,100.2,10,01/10/2016,United Kingdom,OctoberAll Work2016100.21001/10/2016United Kingdom
October,All Work,2017,106,10,01/10/2017,United Kingdom,OctoberAll Work20171061001/10/2017United Kingdom
October,All Work,2018,111,10,01/10/2018,United Kingdom,OctoberAll Work20181111001/10/2018United Kingdom
October,All Work,2019,111.9,10,01/10/2019,United Kingdom,OctoberAll Work2019111.91001/10/2019United Kingdom
October,All Work,2020,111.9,10,01/10/2020,United Kingdom,OctoberAll Work2020111.91001/10/2020United Kingdom
October,All Work,2021,,10,01/10/2021,United Kingdom,OctoberAll Work20211001/10/2021United Kingdom
November,All Work,2016,101.1,11,01/11/2016,United Kingdom,NovemberAll Work2016101.11101/11/2016United Kingdom
November,All Work,2017,106.3,11,01/11/2017,United Kingdom,NovemberAll Work2017106.31101/11/2017United Kingdom
November,All Work,2018,111.1,11,01/11/2018,United Kingdom,NovemberAll Work2018111.11101/11/2018United Kingdom
November,All Work,2019,110.8,11,01/11/2019,United Kingdom,NovemberAll Work2019110.81101/11/2019United Kingdom
November,All Work,2020,113.5,11,01/11/2020,United Kingdom,NovemberAll Work2020113.51101/11/2020United Kingdom
November,All Work,2021,,11,01/11/2021,United Kingdom,NovemberAll Work20211101/11/2021United Kingdom
December,All Work,2016,101.5,12,01/12/2016,United Kingdom,DecemberAll Work2016101.51201/12/2016United Kingdom
December,All Work,2017,107,12,01/12/2017,United Kingdom,DecemberAll Work20171071201/12/2017United Kingdom
December,All Work,2018,111.2,12,01/12/2018,United Kingdom,DecemberAll Work2018111.21201/12/2018United Kingdom
December,All Work,2019,110.1,12,01/12/2019,United Kingdom,DecemberAll Work2019110.11201/12/2019United Kingdom
December,All Work,2020,115.1,12,01/12/2020,United Kingdom,DecemberAll Work2020115.11201/12/2020United Kingdom
December,All Work,2021,,12,01/12/2021,United Kingdom,DecemberAll Work20211201/12/2021United Kingdom
