Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Raw Materials",Building Stone : unprocessed,Imports,2016,151816,01/01/2016,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports201615181601/01/2016United Kingdom
" Raw Materials",Building Stone : unprocessed,Imports,2017,176711,01/01/2017,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports201717671101/01/2017United Kingdom
" Raw Materials",Building Stone : unprocessed,Imports,2018,180697,01/01/2018,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports201818069701/01/2018United Kingdom
" Raw Materials",Building Stone : unprocessed,Imports,2019,184172,01/01/2019,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports201918417201/01/2019United Kingdom
" Raw Materials",Building Stone : unprocessed,Imports,2020,198744,01/01/2020,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports202019874401/01/2020United Kingdom
" Raw Materials",Building Stone : unprocessed,Exports,2015,1690,01/01/2015,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedExports2015169001/01/2015United Kingdom
" Raw Materials",Building Stone : unprocessed,Exports,2016,1976,01/01/2016,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedExports2016197601/01/2016United Kingdom
" Raw Materials",Building Stone : unprocessed,Exports,2017,3128,01/01/2017,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedExports2017312801/01/2017United Kingdom
" Raw Materials",Building Stone : unprocessed,Exports,2018,4094,01/01/2018,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedExports2018409401/01/2018United Kingdom
" Raw Materials",Building Stone : unprocessed,Exports,2019,4409,01/01/2019,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedExports2019440901/01/2019United Kingdom
" Raw Materials",Building Stone : unprocessed,Exports,2020,1918,01/01/2020,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedExports2020191801/01/2020United Kingdom
" Raw Materials",Slate : unprocessed,Imports,2015,10699,01/01/2015,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedImports20151069901/01/2015United Kingdom
" Raw Materials",Slate : unprocessed,Imports,2016,13574,01/01/2016,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedImports20161357401/01/2016United Kingdom
