Date,Geographical Region,Sector,Header,Sales (Thousand tonnes),Unique_Key
01/7/2015,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3003,01/7/2015Great BritainMining and QuarryingSand & Gravel Marine-Dredged3003
01/10/2015,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13168.1472911906,01/10/2015Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13168.1472911906
01/10/2015,Great Britain,Mining and Quarrying,Sand for Building,1371,01/10/2015Great BritainMining and QuarryingSand for Building1371
01/10/2015,Great Britain,Mining and Quarrying,Sand for Concreting,5128,01/10/2015Great BritainMining and QuarryingSand for Concreting5128
01/10/2015,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4661,01/10/2015Great BritainMining and QuarryingGravel for Concreting & other uses4661
01/10/2015,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,330,01/10/2015Great BritainMining and QuarryingSand & Gravel for Coating330
01/10/2015,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",971,"01/10/2015Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill971"
01/10/2015,Great Britain,Mining and Quarrying,Sand & Gravel (Total),12461,01/10/2015Great BritainMining and QuarryingSand & Gravel (Total)12461
01/10/2015,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2679,01/10/2015Great BritainMining and QuarryingSand & Gravel Marine-Dredged2679
01/1/2016,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14494.6719307624,01/1/2016Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14494.6719307624
01/1/2016,Great Britain,Mining and Quarrying,Sand for Building,1406,01/1/2016Great BritainMining and QuarryingSand for Building1406
01/1/2016,Great Britain,Mining and Quarrying,Sand for Concreting,5213,01/1/2016Great BritainMining and QuarryingSand for Concreting5213
01/1/2016,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4893,01/1/2016Great BritainMining and QuarryingGravel for Concreting & other uses4893
01/1/2016,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,349,01/1/2016Great BritainMining and QuarryingSand & Gravel for Coating349
01/1/2016,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1167,"01/1/2016Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1167"
01/1/2016,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13027,01/1/2016Great BritainMining and QuarryingSand & Gravel (Total)13027
01/1/2016,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2593,01/1/2016Great BritainMining and QuarryingSand & Gravel Marine-Dredged2593
01/4/2016,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),15165,01/4/2016Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)15165
01/4/2016,Great Britain,Mining and Quarrying,Sand for Building,1796,01/4/2016Great BritainMining and QuarryingSand for Building1796
01/4/2016,Great Britain,Mining and Quarrying,Sand for Concreting,5775,01/4/2016Great BritainMining and QuarryingSand for Concreting5775
01/4/2016,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5587,01/4/2016Great BritainMining and QuarryingGravel for Concreting & other uses5587
01/4/2016,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,600,01/4/2016Great BritainMining and QuarryingSand & Gravel for Coating600
01/4/2016,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1408,"01/4/2016Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1408"
01/4/2016,Great Britain,Mining and Quarrying,Sand & Gravel (Total),15165,01/4/2016Great BritainMining and QuarryingSand & Gravel (Total)15165
01/4/2016,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3116,01/4/2016Great BritainMining and QuarryingSand & Gravel Marine-Dredged3116
01/7/2016,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14646.1767360929,01/7/2016Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14646.1767360929
01/7/2016,Great Britain,Mining and Quarrying,Sand for Building,1661,01/7/2016Great BritainMining and QuarryingSand for Building1661
01/7/2016,Great Britain,Mining and Quarrying,Sand for Concreting,6042,01/7/2016Great BritainMining and QuarryingSand for Concreting6042
01/7/2016,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5912,01/7/2016Great BritainMining and QuarryingGravel for Concreting & other uses5912
01/7/2016,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,449,01/7/2016Great BritainMining and QuarryingSand & Gravel for Coating449
01/7/2016,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1312,"01/7/2016Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1312"
01/7/2016,Great Britain,Mining and Quarrying,Sand & Gravel (Total),15376,01/7/2016Great BritainMining and QuarryingSand & Gravel (Total)15376
01/7/2016,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3245,01/7/2016Great BritainMining and QuarryingSand & Gravel Marine-Dredged3245
01/10/2016,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14279.0129350138,01/10/2016Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14279.0129350138
01/10/2016,Great Britain,Mining and Quarrying,Sand for Building,1449,01/10/2016Great BritainMining and QuarryingSand for Building1449
01/10/2016,Great Britain,Mining and Quarrying,Sand for Concreting,5392,01/10/2016Great BritainMining and QuarryingSand for Concreting5392
01/10/2016,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5043,01/10/2016Great BritainMining and QuarryingGravel for Concreting & other uses5043
01/10/2016,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,393,01/10/2016Great BritainMining and QuarryingSand & Gravel for Coating393
01/10/2016,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1169,"01/10/2016Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1169"
01/10/2016,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13446,01/10/2016Great BritainMining and QuarryingSand & Gravel (Total)13446
01/10/2016,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2816,01/10/2016Great BritainMining and QuarryingSand & Gravel Marine-Dredged2816
01/1/2017,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),15430.2060162253,01/1/2017Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)15430.2060162253
01/1/2017,Great Britain,Mining and Quarrying,Sand for Building,1478,01/1/2017Great BritainMining and QuarryingSand for Building1478
01/1/2017,Great Britain,Mining and Quarrying,Sand for Concreting,5978,01/1/2017Great BritainMining and QuarryingSand for Concreting5978
01/1/2017,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5867,01/1/2017Great BritainMining and QuarryingGravel for Concreting & other uses5867
01/1/2017,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,354,01/1/2017Great BritainMining and QuarryingSand & Gravel for Coating354
01/1/2017,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1101,"01/1/2017Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1101"
01/1/2017,Great Britain,Mining and Quarrying,Sand & Gravel (Total),14778,01/1/2017Great BritainMining and QuarryingSand & Gravel (Total)14778
01/1/2017,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2982,01/1/2017Great BritainMining and QuarryingSand & Gravel Marine-Dredged2982
01/4/2017,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),15123.3679853054,01/4/2017Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)15123.3679853054
01/4/2017,Great Britain,Mining and Quarrying,Sand for Building,1703,01/4/2017Great BritainMining and QuarryingSand for Building1703
01/4/2017,Great Britain,Mining and Quarrying,Sand for Concreting,6515,01/4/2017Great BritainMining and QuarryingSand for Concreting6515
01/4/2017,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,6345,01/4/2017Great BritainMining and QuarryingGravel for Concreting & other uses6345
01/4/2017,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,390,01/4/2017Great BritainMining and QuarryingSand & Gravel for Coating390
01/4/2017,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",950,"01/4/2017Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill950"
01/4/2017,Great Britain,Mining and Quarrying,Sand & Gravel (Total),15903,01/4/2017Great BritainMining and QuarryingSand & Gravel (Total)15903
01/4/2017,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,4045,01/4/2017Great BritainMining and QuarryingSand & Gravel Marine-Dredged4045
01/7/2017,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14945.4213414024,01/7/2017Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14945.4213414024
01/7/2017,Great Britain,Mining and Quarrying,Sand for Building,1666,01/7/2017Great BritainMining and QuarryingSand for Building1666
01/7/2017,Great Britain,Mining and Quarrying,Sand for Concreting,6376,01/7/2017Great BritainMining and QuarryingSand for Concreting6376
01/7/2017,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,6397,01/7/2017Great BritainMining and QuarryingGravel for Concreting & other uses6397
01/7/2017,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,413,01/7/2017Great BritainMining and QuarryingSand & Gravel for Coating413
01/7/2017,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",828,"01/7/2017Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill828"
01/7/2017,Great Britain,Mining and Quarrying,Sand & Gravel (Total),15679,01/7/2017Great BritainMining and QuarryingSand & Gravel (Total)15679
01/7/2017,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3520,01/7/2017Great BritainMining and QuarryingSand & Gravel Marine-Dredged3520
01/10/2017,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14947.6843822673,01/10/2017Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14947.6843822673
01/10/2017,Great Britain,Mining and Quarrying,Sand for Building,1462,01/10/2017Great BritainMining and QuarryingSand for Building1462
01/10/2017,Great Britain,Mining and Quarrying,Sand for Concreting,5763,01/10/2017Great BritainMining and QuarryingSand for Concreting5763
01/10/2017,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5429,01/10/2017Great BritainMining and QuarryingGravel for Concreting & other uses5429
01/10/2017,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,341,01/10/2017Great BritainMining and QuarryingSand & Gravel for Coating341
01/10/2017,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",969,"01/10/2017Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill969"
01/10/2017,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13965,01/10/2017Great BritainMining and QuarryingSand & Gravel (Total)13965
01/10/2017,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3117,01/10/2017Great BritainMining and QuarryingSand & Gravel Marine-Dredged3117
01/1/2018,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13509.8467507582,01/1/2018Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13509.8467507582
01/1/2018,Great Britain,Mining and Quarrying,Sand for Building,1366,01/1/2018Great BritainMining and QuarryingSand for Building1366
01/1/2018,Great Britain,Mining and Quarrying,Sand for Concreting,5043,01/1/2018Great BritainMining and QuarryingSand for Concreting5043
01/1/2018,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4741,01/1/2018Great BritainMining and QuarryingGravel for Concreting & other uses4741
01/1/2018,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,387,01/1/2018Great BritainMining and QuarryingSand & Gravel for Coating387
01/1/2018,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",876,"01/1/2018Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill876"
01/1/2018,Great Britain,Mining and Quarrying,Sand & Gravel (Total),12414,01/1/2018Great BritainMining and QuarryingSand & Gravel (Total)12414
01/1/2018,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2608,01/1/2018Great BritainMining and QuarryingSand & Gravel Marine-Dredged2608
01/4/2018,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14658.0063234153,01/4/2018Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14658.0063234153
01/4/2018,Great Britain,Mining and Quarrying,Sand for Building,1782,01/4/2018Great BritainMining and QuarryingSand for Building1782
01/4/2018,Great Britain,Mining and Quarrying,Sand for Concreting,6276,01/4/2018Great BritainMining and QuarryingSand for Concreting6276
01/4/2018,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,6190,01/4/2018Great BritainMining and QuarryingGravel for Concreting & other uses6190
01/4/2018,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,393,01/4/2018Great BritainMining and QuarryingSand & Gravel for Coating393
01/4/2018,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1041,"01/4/2018Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1041"
01/4/2018,Great Britain,Mining and Quarrying,Sand & Gravel (Total),15681,01/4/2018Great BritainMining and QuarryingSand & Gravel (Total)15681
01/4/2018,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3140,01/4/2018Great BritainMining and QuarryingSand & Gravel Marine-Dredged3140
01/7/2018,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),15727.1129060853,01/7/2018Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)15727.1129060853
01/7/2018,Great Britain,Mining and Quarrying,Sand for Building,1691,01/7/2018Great BritainMining and QuarryingSand for Building1691
01/7/2018,Great Britain,Mining and Quarrying,Sand for Concreting,6393,01/7/2018Great BritainMining and QuarryingSand for Concreting6393
01/7/2018,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,7176,01/7/2018Great BritainMining and QuarryingGravel for Concreting & other uses7176
01/7/2018,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,527,01/7/2018Great BritainMining and QuarryingSand & Gravel for Coating527
01/7/2018,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",935,"01/7/2018Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill935"
01/7/2018,Great Britain,Mining and Quarrying,Sand & Gravel (Total),16721,01/7/2018Great BritainMining and QuarryingSand & Gravel (Total)16721
01/7/2018,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3121,01/7/2018Great BritainMining and QuarryingSand & Gravel Marine-Dredged3121
01/10/2018,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14529.2029855842,01/10/2018Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14529.2029855842
01/10/2018,Great Britain,Mining and Quarrying,Sand for Building,1533,01/10/2018Great BritainMining and QuarryingSand for Building1533
01/10/2018,Great Britain,Mining and Quarrying,Sand for Concreting,5617,01/10/2018Great BritainMining and QuarryingSand for Concreting5617
01/10/2018,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5089,01/10/2018Great BritainMining and QuarryingGravel for Concreting & other uses5089
01/10/2018,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,369,01/10/2018Great BritainMining and QuarryingSand & Gravel for Coating369
01/10/2018,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",840,"01/10/2018Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill840"
01/10/2018,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13448,01/10/2018Great BritainMining and QuarryingSand & Gravel (Total)13448
01/10/2018,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2730,01/10/2018Great BritainMining and QuarryingSand & Gravel Marine-Dredged2730
01/1/2019,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14731.5513207036,01/1/2019Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14731.5513207036
01/1/2019,Great Britain,Mining and Quarrying,Sand for Building,1657,01/1/2019Great BritainMining and QuarryingSand for Building1657
01/1/2019,Great Britain,Mining and Quarrying,Sand for Concreting,5454,01/1/2019Great BritainMining and QuarryingSand for Concreting5454
01/1/2019,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5435,01/1/2019Great BritainMining and QuarryingGravel for Concreting & other uses5435
01/1/2019,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,371,01/1/2019Great BritainMining and QuarryingSand & Gravel for Coating371
01/1/2019,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",781,"01/1/2019Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill781"
01/1/2019,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13699,01/1/2019Great BritainMining and QuarryingSand & Gravel (Total)13699
01/1/2019,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2895,01/1/2019Great BritainMining and QuarryingSand & Gravel Marine-Dredged2895
01/4/2019,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14836.554673861,01/4/2019Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14836.554673861
01/4/2019,Great Britain,Mining and Quarrying,Sand for Building,2043,01/4/2019Great BritainMining and QuarryingSand for Building2043
01/4/2019,Great Britain,Mining and Quarrying,Sand for Concreting,5863,01/4/2019Great BritainMining and QuarryingSand for Concreting5863
01/4/2019,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,6252,01/4/2019Great BritainMining and QuarryingGravel for Concreting & other uses6252
01/4/2019,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,390,01/4/2019Great BritainMining and QuarryingSand & Gravel for Coating390
01/4/2019,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1077,"01/4/2019Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1077"
01/4/2019,Great Britain,Mining and Quarrying,Sand & Gravel (Total),15619,01/4/2019Great BritainMining and QuarryingSand & Gravel (Total)15619
01/4/2019,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3154,01/4/2019Great BritainMining and QuarryingSand & Gravel Marine-Dredged3154
01/7/2019,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14493.6476198763,01/7/2019Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14493.6476198763
01/7/2019,Great Britain,Mining and Quarrying,Sand for Building,1910,01/7/2019Great BritainMining and QuarryingSand for Building1910
01/7/2019,Great Britain,Mining and Quarrying,Sand for Concreting,6224,01/7/2019Great BritainMining and QuarryingSand for Concreting6224
01/7/2019,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,6118,01/7/2019Great BritainMining and QuarryingGravel for Concreting & other uses6118
01/7/2019,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,384,01/7/2019Great BritainMining and QuarryingSand & Gravel for Coating384
01/7/2019,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1040,"01/7/2019Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1040"
01/7/2019,Great Britain,Mining and Quarrying,Sand & Gravel (Total),15677,01/7/2019Great BritainMining and QuarryingSand & Gravel (Total)15677
01/7/2019,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3008,01/7/2019Great BritainMining and QuarryingSand & Gravel Marine-Dredged3008
01/10/2019,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14592.0282806401,01/10/2019Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14592.0282806401
01/10/2019,Great Britain,Mining and Quarrying,Sand for Building,1493,01/10/2019Great BritainMining and QuarryingSand for Building1493
01/10/2019,Great Britain,Mining and Quarrying,Sand for Concreting,5502,01/10/2019Great BritainMining and QuarryingSand for Concreting5502
01/10/2019,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5225,01/10/2019Great BritainMining and QuarryingGravel for Concreting & other uses5225
01/10/2019,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,349,01/10/2019Great BritainMining and QuarryingSand & Gravel for Coating349
01/10/2019,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",930,"01/10/2019Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill930"
01/10/2019,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13498,01/10/2019Great BritainMining and QuarryingSand & Gravel (Total)13498
01/10/2019,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2753,01/10/2019Great BritainMining and QuarryingSand & Gravel Marine-Dredged2753
01/1/2020,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13715.7073511662,01/1/2020Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13715.7073511662
01/1/2020,Great Britain,Mining and Quarrying,Sand for Building,1486,01/1/2020Great BritainMining and QuarryingSand for Building1486
01/1/2020,Great Britain,Mining and Quarrying,Sand for Concreting,4980,01/1/2020Great BritainMining and QuarryingSand for Concreting4980
01/1/2020,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5115,01/1/2020Great BritainMining and QuarryingGravel for Concreting & other uses5115
01/1/2020,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,337,01/1/2020Great BritainMining and QuarryingSand & Gravel for Coating337
01/1/2020,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",897,"01/1/2020Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill897"
01/1/2020,Great Britain,Mining and Quarrying,Sand & Gravel (Total),12815,01/1/2020Great BritainMining and QuarryingSand & Gravel (Total)12815
01/1/2020,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2612,01/1/2020Great BritainMining and QuarryingSand & Gravel Marine-Dredged2612
01/4/2020,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),9844.21847634209,01/4/2020Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)9844.21847634209
01/4/2020,Great Britain,Mining and Quarrying,Sand for Building,1235,01/4/2020Great BritainMining and QuarryingSand for Building1235
01/4/2020,Great Britain,Mining and Quarrying,Sand for Concreting,3993,01/4/2020Great BritainMining and QuarryingSand for Concreting3993
01/4/2020,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4397,01/4/2020Great BritainMining and QuarryingGravel for Concreting & other uses4397
01/4/2020,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,244,01/4/2020Great BritainMining and QuarryingSand & Gravel for Coating244
01/4/2020,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",707,"01/4/2020Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill707"
01/4/2020,Great Britain,Mining and Quarrying,Sand & Gravel (Total),10575,01/4/2020Great BritainMining and QuarryingSand & Gravel (Total)10575
01/4/2020,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2318,01/4/2020Great BritainMining and QuarryingSand & Gravel Marine-Dredged2318
01/7/2020,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13560.5874073115,01/7/2020Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13560.5874073115
01/7/2020,Great Britain,Mining and Quarrying,Sand for Building,1604,01/7/2020Great BritainMining and QuarryingSand for Building1604
01/7/2020,Great Britain,Mining and Quarrying,Sand for Concreting,5914,01/7/2020Great BritainMining and QuarryingSand for Concreting5914
01/7/2020,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,6007,01/7/2020Great BritainMining and QuarryingGravel for Concreting & other uses6007
01/7/2020,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,337,01/7/2020Great BritainMining and QuarryingSand & Gravel for Coating337
01/7/2020,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",988,"01/7/2020Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill988"
01/7/2020,Great Britain,Mining and Quarrying,Sand & Gravel (Total),14850,01/7/2020Great BritainMining and QuarryingSand & Gravel (Total)14850
01/7/2020,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3101,01/7/2020Great BritainMining and QuarryingSand & Gravel Marine-Dredged3101
01/10/2020,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),12789.307665067,01/10/2020Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)12789.307665067
01/10/2020,Great Britain,Mining and Quarrying,Sand for Building,1182,01/10/2020Great BritainMining and QuarryingSand for Building1182
01/10/2020,Great Britain,Mining and Quarrying,Sand for Concreting,4709,01/10/2020Great BritainMining and QuarryingSand for Concreting4709
01/10/2020,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4666,01/10/2020Great BritainMining and QuarryingGravel for Concreting & other uses4666
01/10/2020,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,353,01/10/2020Great BritainMining and QuarryingSand & Gravel for Coating353
01/10/2020,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",831,"01/10/2020Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill831"
01/10/2020,Great Britain,Mining and Quarrying,Sand & Gravel (Total),11742,01/10/2020Great BritainMining and QuarryingSand & Gravel (Total)11742
