Date,Geographical Region,Sector,Header,Sales (Thousand tonnes),Unique_Key
01/4/2015,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13770.8354998547,01/4/2015Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13770.8354998547
01/4/2015,Great Britain,Mining and Quarrying,Sand for Building,1626,01/4/2015Great BritainMining and QuarryingSand for Building1626
01/4/2015,Great Britain,Mining and Quarrying,Sand for Concreting,5539,01/4/2015Great BritainMining and QuarryingSand for Concreting5539
01/4/2015,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5170,01/4/2015Great BritainMining and QuarryingGravel for Concreting & other uses5170
01/4/2015,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,413,01/4/2015Great BritainMining and QuarryingSand & Gravel for Coating413
01/4/2015,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1617,"01/4/2015Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1617"
01/4/2015,Great Britain,Mining and Quarrying,Sand & Gravel (Total),14364,01/4/2015Great BritainMining and QuarryingSand & Gravel (Total)14364
01/4/2015,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3150,01/4/2015Great BritainMining and QuarryingSand & Gravel Marine-Dredged3150
01/7/2015,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),12512.9272834981,01/7/2015Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)12512.9272834981
01/7/2015,Great Britain,Mining and Quarrying,Sand for Building,1465,01/7/2015Great BritainMining and QuarryingSand for Building1465
01/7/2015,Great Britain,Mining and Quarrying,Sand for Concreting,5140,01/7/2015Great BritainMining and QuarryingSand for Concreting5140
01/7/2015,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4841,01/7/2015Great BritainMining and QuarryingGravel for Concreting & other uses4841
01/7/2015,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,386,01/7/2015Great BritainMining and QuarryingSand & Gravel for Coating386
01/7/2015,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1464,"01/7/2015Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1464"
01/7/2015,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13297,01/7/2015Great BritainMining and QuarryingSand & Gravel (Total)13297
