Date,Production/Deliveries/Stocks,Concrete Block Type,Thousand square metres,Building Material Type,Geographical Region,Unique_Key
01/10/2019,Stocks,Aerated,2599.67,Concrete Products,Great Britain,01/10/2019StocksAerated2599.67Concrete ProductsGreat Britain
01/11/2019,Seasonally Adjusted Deliveries,All Types,5587.18845857632,Concrete Products,Great Britain,01/11/2019Seasonally Adjusted DeliveriesAll Types5587.18845857632Concrete ProductsGreat Britain
01/11/2019,Production,All Types,5914.409,Concrete Products,Great Britain,01/11/2019ProductionAll Types5914.409Concrete ProductsGreat Britain
01/11/2019,Deliveries(from),All Types,5661.493,Concrete Products,Great Britain,01/11/2019Deliveries(from)All Types5661.493Concrete ProductsGreat Britain
01/11/2019,Stocks,All Types,7876.037,Concrete Products,Great Britain,01/11/2019StocksAll Types7876.037Concrete ProductsGreat Britain
01/11/2019,Production,Dense,1824.962,Concrete Products,Great Britain,01/11/2019ProductionDense1824.962Concrete ProductsGreat Britain
01/11/2019,Deliveries(from),Dense,1815.883,Concrete Products,Great Britain,01/11/2019Deliveries(from)Dense1815.883Concrete ProductsGreat Britain
01/11/2019,Stocks,Dense,2732.365,Concrete Products,Great Britain,01/11/2019StocksDense2732.365Concrete ProductsGreat Britain
01/11/2019,Production,Lightweight,1429.517,Concrete Products,Great Britain,01/11/2019ProductionLightweight1429.517Concrete ProductsGreat Britain
01/11/2019,Deliveries(from),Lightweight,1639.6,Concrete Products,Great Britain,01/11/2019Deliveries(from)Lightweight1639.6Concrete ProductsGreat Britain
01/11/2019,Stocks,Lightweight,2090.082,Concrete Products,Great Britain,01/11/2019StocksLightweight2090.082Concrete ProductsGreat Britain
01/11/2019,Production,Aerated,2659.93,Concrete Products,Great Britain,01/11/2019ProductionAerated2659.93Concrete ProductsGreat Britain
01/11/2019,Deliveries(from),Aerated,2206.01,Concrete Products,Great Britain,01/11/2019Deliveries(from)Aerated2206.01Concrete ProductsGreat Britain
01/11/2019,Stocks,Aerated,3053.59,Concrete Products,Great Britain,01/11/2019StocksAerated3053.59Concrete ProductsGreat Britain
01/12/2019,Seasonally Adjusted Deliveries,All Types,5603.9413294848,Concrete Products,Great Britain,01/12/2019Seasonally Adjusted DeliveriesAll Types5603.9413294848Concrete ProductsGreat Britain
01/12/2019,Production,All Types,4936.959,Concrete Products,Great Britain,01/12/2019ProductionAll Types4936.959Concrete ProductsGreat Britain
01/12/2019,Deliveries(from),All Types,3680.714,Concrete Products,Great Britain,01/12/2019Deliveries(from)All Types3680.714Concrete ProductsGreat Britain
01/12/2019,Stocks,All Types,9144.337,Concrete Products,Great Britain,01/12/2019StocksAll Types9144.337Concrete ProductsGreat Britain
01/12/2019,Production,Dense,1338.572,Concrete Products,Great Britain,01/12/2019ProductionDense1338.572Concrete ProductsGreat Britain
01/12/2019,Deliveries(from),Dense,1144.847,Concrete Products,Great Britain,01/12/2019Deliveries(from)Dense1144.847Concrete ProductsGreat Britain
01/12/2019,Stocks,Dense,2944.675,Concrete Products,Great Britain,01/12/2019StocksDense2944.675Concrete ProductsGreat Britain
01/12/2019,Production,Lightweight,1142.657,Concrete Products,Great Britain,01/12/2019ProductionLightweight1142.657Concrete ProductsGreat Britain
