Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,2015,2016,2017,2018,2019,2020
" Products & Components",Other Clay Products,Exports,2419,2897,2605,2236,2660,2183
" Products & Components",Concrete Blocks & Bricks,Imports,12200,30327,31847,32542,29954,35571
" Products & Components",Concrete Blocks & Bricks,Exports,5335,7474,7184,10273,9793,8849
" Products & Components",Concrete Roofing Tiles*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Concrete Roofing Tiles*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Concrete Tiles & Paving*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Concrete Tiles & Paving*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Concrete Tiles and Pavings*,Imports,23726,29353,36770,47933,46713,32153
" Products & Components",Concrete Tiles and Pavings*,Exports,9427,15311,36770,18185,19414,19606
" Products & Components",Prefabricated Concrete Products,Imports,73013,138716,116266,106837,86939,60925
" Products & Components",Prefabricated Concrete Products,Exports,1282,2239,4758,7393,9062,7766
" Products & Components",Concrete Pipes,Imports,105963,124946,142585,147565,162552,110550
" Products & Components",Concrete Pipes,Exports,38318,47342,46733,37531,30513,27285
" Products & Components",Concrete Pipes,,2015,2016,2017,2018,2019,2020
" Products & Components",Structural Units (steel),Imports,242664,314887,179194,784912,468356,430791
" Products & Components",Structural Units (steel),Exports,187947,184667,192728,190175,247791,153455
" Products & Components",Structural Units (aluminium),Imports,229463,355628,308660,412373,506197,437048
" Products & Components",Structural Units (aluminium),Exports,72837,62573,76696,98808,77947,72532
" Products & Components",Steel Tubes & Hollow Sections,Imports,127047,145661,182169,165142,167081,116711
" Products & Components",Steel Tubes & Hollow Sections,Exports,94695,68814,88760,93565,102217,89886
" Products & Components",Bituminous Roofing Felt*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Bituminous Roofing Felt*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Asphalt products*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Asphalt products*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Asphalt Products*,Imports,62171,64877,73520,77035,94287,90544
" Products & Components",Asphalt Products*,Exports,11690,11516,9589,10359,13771,12262
" Products & Components",Mineral Insulating Materials,Imports,99542,106547,124026,143407,135688,109779
" Products & Components",Mineral Insulating Materials,Exports,151080,162242,190839,196774,211036,178989
" Products & Components",Glass Fibre**,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Glass Fibre**,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Fibre Cement Products,Imports,64201,72723,83967,80024,86056,86423
" Products & Components",Fibre Cement Products,Exports,6866,10836,11831,9282,11405,4819
" Products & Components",Building Plasters1,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Building Plasters1,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Plasters1,Imports,9311,11498,24626,25268,20252,28101
" Products & Components",Plasters1,Exports,7925,9345,12458,15254,15128,12046
" Products & Components",Plasterboard,Imports,29038,33957,47639,47489,60433,52268
" Products & Components",Plasterboard,Exports,10895,12884,15477,16789,21222,14377
" Products & Components",Copper Pipes,Imports,232193,243618,303881,319449,329345,264305
" Products & Components",Copper Pipes,Exports,98036,89153,128700,128890,103153,97577
