Date,Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Current Prices (£'000),Geographical Region,Type
01/01/2016," Products & Components",Other Cements,Exports,33352,United Kingdom,External Trade
01/01/2017," Products & Components",Other Cements,Exports,38927,United Kingdom,External Trade
01/01/2018," Products & Components",Other Cements,Exports,42432,United Kingdom,External Trade
01/01/2019," Products & Components",Other Cements,Exports,36701,United Kingdom,External Trade
01/01/2020," Products & Components",Other Cements,Exports,31958,United Kingdom,External Trade
01/01/2015," Products & Components",Steel Sheet Piling,Imports,77089,United Kingdom,External Trade
01/01/2016," Products & Components",Steel Sheet Piling,Imports,67072,United Kingdom,External Trade
01/01/2017," Products & Components",Steel Sheet Piling,Imports,68240,United Kingdom,External Trade
01/01/2018," Products & Components",Steel Sheet Piling,Imports,69611,United Kingdom,External Trade
01/01/2019," Products & Components",Steel Sheet Piling,Imports,69863,United Kingdom,External Trade
01/01/2020," Products & Components",Steel Sheet Piling,Imports,77109,United Kingdom,External Trade
01/01/2015," Products & Components",Steel Sheet Piling,Exports,31643,United Kingdom,External Trade
01/01/2016," Products & Components",Steel Sheet Piling,Exports,33725,United Kingdom,External Trade
01/01/2017," Products & Components",Steel Sheet Piling,Exports,31848,United Kingdom,External Trade
01/01/2018," Products & Components",Steel Sheet Piling,Exports,40553,United Kingdom,External Trade
01/01/2019," Products & Components",Steel Sheet Piling,Exports,32828,United Kingdom,External Trade
01/01/2020," Products & Components",Steel Sheet Piling,Exports,31446,United Kingdom,External Trade
01/01/2015," Products & Components",Ready-Mixed Concrete,Imports,160,United Kingdom,External Trade
01/01/2016," Products & Components",Ready-Mixed Concrete,Imports,5,United Kingdom,External Trade
01/01/2017," Products & Components",Ready-Mixed Concrete,Imports,23,United Kingdom,External Trade
01/01/2018," Products & Components",Ready-Mixed Concrete,Imports,28,United Kingdom,External Trade
01/01/2019," Products & Components",Ready-Mixed Concrete,Imports,38,United Kingdom,External Trade
01/01/2020," Products & Components",Ready-Mixed Concrete,Imports,62,United Kingdom,External Trade
01/01/2015," Products & Components",Ready-Mixed Concrete,Exports,1752,United Kingdom,External Trade
01/01/2016," Products & Components",Ready-Mixed Concrete,Exports,2281,United Kingdom,External Trade
01/01/2017," Products & Components",Ready-Mixed Concrete,Exports,1750,United Kingdom,External Trade
01/01/2018," Products & Components",Ready-Mixed Concrete,Exports,2334,United Kingdom,External Trade
01/01/2019," Products & Components",Ready-Mixed Concrete,Exports,2694,United Kingdom,External Trade
01/01/2020," Products & Components",Ready-Mixed Concrete,Exports,2677,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Reinforcing Bars,Imports,197838,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Reinforcing Bars,Imports,157560,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Reinforcing Bars,Imports,201187,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Reinforcing Bars,Imports,268593,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Reinforcing Bars,Imports,237789,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Reinforcing Bars,Imports,177122,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Reinforcing Bars,Exports,35785,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Reinforcing Bars,Exports,24476,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Reinforcing Bars,Exports,22390,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Reinforcing Bars,Exports,32244,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Reinforcing Bars,Exports,46668,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Reinforcing Bars,Exports,47990,United Kingdom,External Trade
01/01/2015," Products & Components",Mortars,Imports,10127,United Kingdom,External Trade
01/01/2016," Products & Components",Mortars,Imports,11812,United Kingdom,External Trade
01/01/2017," Products & Components",Mortars,Imports,9477,United Kingdom,External Trade
01/01/2018," Products & Components",Mortars,Imports,12901,United Kingdom,External Trade
01/01/2019," Products & Components",Mortars,Imports,11862,United Kingdom,External Trade
01/01/2020," Products & Components",Mortars,Imports,24649,United Kingdom,External Trade
01/01/2015," Products & Components",Mortars,Exports,5725,United Kingdom,External Trade
01/01/2016," Products & Components",Mortars,Exports,8483,United Kingdom,External Trade
01/01/2017," Products & Components",Mortars,Exports,9301,United Kingdom,External Trade
01/01/2018," Products & Components",Mortars,Exports,10356,United Kingdom,External Trade
01/01/2019," Products & Components",Mortars,Exports,11454,United Kingdom,External Trade
01/01/2020," Products & Components",Mortars,Exports,9751,United Kingdom,External Trade
01/01/2015," Products & Components",Clay Bricks,Imports,64468,United Kingdom,External Trade
01/01/2016," Products & Components",Clay Bricks,Imports,66966,United Kingdom,External Trade
01/01/2017," Products & Components",Clay Bricks,Imports,85248,United Kingdom,External Trade
01/01/2018," Products & Components",Clay Bricks,Imports,116032,United Kingdom,External Trade
01/01/2019," Products & Components",Clay Bricks,Imports,137431,United Kingdom,External Trade
01/01/2020," Products & Components",Clay Bricks,Imports,106521,United Kingdom,External Trade
01/01/2015," Products & Components",Clay Bricks,Exports,4537,United Kingdom,External Trade
01/01/2016," Products & Components",Clay Bricks,Exports,7435,United Kingdom,External Trade
01/01/2017," Products & Components",Clay Bricks,Exports,9037,United Kingdom,External Trade
01/01/2018," Products & Components",Clay Bricks,Exports,9158,United Kingdom,External Trade
01/01/2019," Products & Components",Clay Bricks,Exports,7421,United Kingdom,External Trade
01/01/2020," Products & Components",Clay Bricks,Exports,8488,United Kingdom,External Trade
01/01/2015," Products & Components",Clay Roofing Tiles,Imports,18852,United Kingdom,External Trade
01/01/2016," Products & Components",Clay Roofing Tiles,Imports,25998,United Kingdom,External Trade
01/01/2017," Products & Components",Clay Roofing Tiles,Imports,35085,United Kingdom,External Trade
01/01/2018," Products & Components",Clay Roofing Tiles,Imports,35139,United Kingdom,External Trade
01/01/2019," Products & Components",Clay Roofing Tiles,Imports,30592,United Kingdom,External Trade
01/01/2020," Products & Components",Clay Roofing Tiles,Imports,35191,United Kingdom,External Trade
01/01/2015," Products & Components",Clay Roofing Tiles,Exports,274,United Kingdom,External Trade
01/01/2016," Products & Components",Clay Roofing Tiles,Exports,300,United Kingdom,External Trade
01/01/2017," Products & Components",Clay Roofing Tiles,Exports,401,United Kingdom,External Trade
01/01/2018," Products & Components",Clay Roofing Tiles,Exports,419,United Kingdom,External Trade
01/01/2019," Products & Components",Clay Roofing Tiles,Exports,453,United Kingdom,External Trade
01/01/2020," Products & Components",Clay Roofing Tiles,Exports,788,United Kingdom,External Trade
01/01/2015," Products & Components",Clay Pipes,Imports,1044,United Kingdom,External Trade
01/01/2016," Products & Components",Clay Pipes,Imports,1548,United Kingdom,External Trade
01/01/2017," Products & Components",Clay Pipes,Imports,1579,United Kingdom,External Trade
01/01/2018," Products & Components",Clay Pipes,Imports,1567,United Kingdom,External Trade
01/01/2019," Products & Components",Clay Pipes,Imports,1886,United Kingdom,External Trade
01/01/2020," Products & Components",Clay Pipes,Imports,743,United Kingdom,External Trade
01/01/2015," Products & Components",Clay Pipes,Exports,3550,United Kingdom,External Trade
01/01/2016," Products & Components",Clay Pipes,Exports,4485,United Kingdom,External Trade
01/01/2017," Products & Components",Clay Pipes,Exports,3743,United Kingdom,External Trade
01/01/2018," Products & Components",Clay Pipes,Exports,4356,United Kingdom,External Trade
01/01/2019," Products & Components",Clay Pipes,Exports,5064,United Kingdom,External Trade
01/01/2020," Products & Components",Clay Pipes,Exports,2467,United Kingdom,External Trade
01/01/2015," Products & Components",Other Clay Products,Imports,7740,United Kingdom,External Trade
01/01/2016," Products & Components",Other Clay Products,Imports,15961,United Kingdom,External Trade
01/01/2017," Products & Components",Other Clay Products,Imports,15209,United Kingdom,External Trade
01/01/2018," Products & Components",Other Clay Products,Imports,13453,United Kingdom,External Trade
01/01/2019," Products & Components",Other Clay Products,Imports,7621,United Kingdom,External Trade
01/01/2020," Products & Components",Other Clay Products,Imports,8814,United Kingdom,External Trade
01/01/2015," Products & Components",Other Clay Products,Exports,2419,United Kingdom,External Trade
01/01/2016," Products & Components",Other Clay Products,Exports,2897,United Kingdom,External Trade
01/01/2017," Products & Components",Other Clay Products,Exports,2605,United Kingdom,External Trade
01/01/2018," Products & Components",Other Clay Products,Exports,2236,United Kingdom,External Trade
01/01/2019," Products & Components",Other Clay Products,Exports,2660,United Kingdom,External Trade
01/01/2020," Products & Components",Other Clay Products,Exports,2183,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Blocks & Bricks,Imports,12200,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Blocks & Bricks,Imports,30327,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Blocks & Bricks,Imports,31847,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Blocks & Bricks,Imports,32542,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Blocks & Bricks,Imports,29954,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Blocks & Bricks,Imports,35571,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Blocks & Bricks,Exports,5335,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Blocks & Bricks,Exports,7474,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Blocks & Bricks,Exports,7184,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Blocks & Bricks,Exports,10273,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Blocks & Bricks,Exports,9793,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Blocks & Bricks,Exports,8849,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2015," Products & Components",Other Concrete Tiles & Paving*,Imports,,United Kingdom,External Trade
01/01/2016," Products & Components",Other Concrete Tiles & Paving*,Imports,,United Kingdom,External Trade
01/01/2017," Products & Components",Other Concrete Tiles & Paving*,Imports,,United Kingdom,External Trade
01/01/2018," Products & Components",Other Concrete Tiles & Paving*,Imports,,United Kingdom,External Trade
01/01/2019," Products & Components",Other Concrete Tiles & Paving*,Imports,,United Kingdom,External Trade
01/01/2020," Products & Components",Other Concrete Tiles & Paving*,Imports,,United Kingdom,External Trade
01/01/2015," Products & Components",Other Concrete Tiles & Paving*,Exports,,United Kingdom,External Trade
01/01/2016," Products & Components",Other Concrete Tiles & Paving*,Exports,,United Kingdom,External Trade
01/01/2017," Products & Components",Other Concrete Tiles & Paving*,Exports,,United Kingdom,External Trade
01/01/2018," Products & Components",Other Concrete Tiles & Paving*,Exports,,United Kingdom,External Trade
01/01/2019," Products & Components",Other Concrete Tiles & Paving*,Exports,,United Kingdom,External Trade
01/01/2020," Products & Components",Other Concrete Tiles & Paving*,Exports,,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Tiles and Pavings*,Imports,23726,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Tiles and Pavings*,Imports,29353,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Tiles and Pavings*,Imports,36770,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Tiles and Pavings*,Imports,47933,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Tiles and Pavings*,Imports,46713,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Tiles and Pavings*,Imports,32153,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Tiles and Pavings*,Exports,9427,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Tiles and Pavings*,Exports,15311,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Tiles and Pavings*,Exports,36770,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Tiles and Pavings*,Exports,18185,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Tiles and Pavings*,Exports,19414,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Tiles and Pavings*,Exports,19606,United Kingdom,External Trade
01/01/2015," Products & Components",Prefabricated Concrete Products,Imports,73013,United Kingdom,External Trade
01/01/2016," Products & Components",Prefabricated Concrete Products,Imports,138716,United Kingdom,External Trade
01/01/2017," Products & Components",Prefabricated Concrete Products,Imports,116266,United Kingdom,External Trade
01/01/2018," Products & Components",Prefabricated Concrete Products,Imports,106837,United Kingdom,External Trade
01/01/2019," Products & Components",Prefabricated Concrete Products,Imports,86939,United Kingdom,External Trade
01/01/2020," Products & Components",Prefabricated Concrete Products,Imports,60925,United Kingdom,External Trade
01/01/2015," Products & Components",Prefabricated Concrete Products,Exports,1282,United Kingdom,External Trade
01/01/2016," Products & Components",Prefabricated Concrete Products,Exports,2239,United Kingdom,External Trade
01/01/2017," Products & Components",Prefabricated Concrete Products,Exports,4758,United Kingdom,External Trade
01/01/2018," Products & Components",Prefabricated Concrete Products,Exports,7393,United Kingdom,External Trade
01/01/2019," Products & Components",Prefabricated Concrete Products,Exports,9062,United Kingdom,External Trade
01/01/2020," Products & Components",Prefabricated Concrete Products,Exports,7766,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Pipes,Imports,105963,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Pipes,Imports,124946,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Pipes,Imports,142585,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Pipes,Imports,147565,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Pipes,Imports,162552,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Pipes,Imports,110550,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Pipes,Exports,38318,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Pipes,Exports,47342,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Pipes,Exports,46733,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Pipes,Exports,37531,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Pipes,Exports,30513,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Pipes,Exports,27285,United Kingdom,External Trade
01/01/2015," Products & Components",Concrete Pipes,,2015,United Kingdom,External Trade
01/01/2016," Products & Components",Concrete Pipes,,2016,United Kingdom,External Trade
01/01/2017," Products & Components",Concrete Pipes,,2017,United Kingdom,External Trade
01/01/2018," Products & Components",Concrete Pipes,,2018,United Kingdom,External Trade
01/01/2019," Products & Components",Concrete Pipes,,2019,United Kingdom,External Trade
01/01/2020," Products & Components",Concrete Pipes,,2020,United Kingdom,External Trade
01/01/2015," Products & Components",Structural Units (steel),Imports,242664,United Kingdom,External Trade
01/01/2016," Products & Components",Structural Units (steel),Imports,314887,United Kingdom,External Trade
01/01/2017," Products & Components",Structural Units (steel),Imports,179194,United Kingdom,External Trade
01/01/2018," Products & Components",Structural Units (steel),Imports,784912,United Kingdom,External Trade
01/01/2019," Products & Components",Structural Units (steel),Imports,468356,United Kingdom,External Trade
01/01/2020," Products & Components",Structural Units (steel),Imports,430791,United Kingdom,External Trade
01/01/2015," Products & Components",Structural Units (steel),Exports,187947,United Kingdom,External Trade
01/01/2016," Products & Components",Structural Units (steel),Exports,184667,United Kingdom,External Trade
01/01/2017," Products & Components",Structural Units (steel),Exports,192728,United Kingdom,External Trade
01/01/2018," Products & Components",Structural Units (steel),Exports,190175,United Kingdom,External Trade
01/01/2019," Products & Components",Structural Units (steel),Exports,247791,United Kingdom,External Trade
01/01/2020," Products & Components",Structural Units (steel),Exports,153455,United Kingdom,External Trade
01/01/2015," Products & Components",Structural Units (aluminium),Imports,229463,United Kingdom,External Trade
01/01/2016," Products & Components",Structural Units (aluminium),Imports,355628,United Kingdom,External Trade
01/01/2017," Products & Components",Structural Units (aluminium),Imports,308660,United Kingdom,External Trade
01/01/2018," Products & Components",Structural Units (aluminium),Imports,412373,United Kingdom,External Trade
01/01/2019," Products & Components",Structural Units (aluminium),Imports,506197,United Kingdom,External Trade
01/01/2020," Products & Components",Structural Units (aluminium),Imports,437048,United Kingdom,External Trade
01/01/2015," Products & Components",Structural Units (aluminium),Exports,72837,United Kingdom,External Trade
01/01/2016," Products & Components",Structural Units (aluminium),Exports,62573,United Kingdom,External Trade
01/01/2017," Products & Components",Structural Units (aluminium),Exports,76696,United Kingdom,External Trade
01/01/2018," Products & Components",Structural Units (aluminium),Exports,98808,United Kingdom,External Trade
01/01/2019," Products & Components",Structural Units (aluminium),Exports,77947,United Kingdom,External Trade
01/01/2020," Products & Components",Structural Units (aluminium),Exports,72532,United Kingdom,External Trade
01/01/2015," Products & Components",Steel Tubes & Hollow Sections,Imports,127047,United Kingdom,External Trade
01/01/2016," Products & Components",Steel Tubes & Hollow Sections,Imports,145661,United Kingdom,External Trade
01/01/2017," Products & Components",Steel Tubes & Hollow Sections,Imports,182169,United Kingdom,External Trade
01/01/2018," Products & Components",Steel Tubes & Hollow Sections,Imports,165142,United Kingdom,External Trade
01/01/2019," Products & Components",Steel Tubes & Hollow Sections,Imports,167081,United Kingdom,External Trade
01/01/2020," Products & Components",Steel Tubes & Hollow Sections,Imports,116711,United Kingdom,External Trade
01/01/2015," Products & Components",Steel Tubes & Hollow Sections,Exports,94695,United Kingdom,External Trade
01/01/2016," Products & Components",Steel Tubes & Hollow Sections,Exports,68814,United Kingdom,External Trade
01/01/2017," Products & Components",Steel Tubes & Hollow Sections,Exports,88760,United Kingdom,External Trade
01/01/2018," Products & Components",Steel Tubes & Hollow Sections,Exports,93565,United Kingdom,External Trade
01/01/2019," Products & Components",Steel Tubes & Hollow Sections,Exports,102217,United Kingdom,External Trade
01/01/2020," Products & Components",Steel Tubes & Hollow Sections,Exports,89886,United Kingdom,External Trade
01/01/2015," Products & Components",Bituminous Roofing Felt*,Imports,,United Kingdom,External Trade
01/01/2016," Products & Components",Bituminous Roofing Felt*,Imports,,United Kingdom,External Trade
01/01/2017," Products & Components",Bituminous Roofing Felt*,Imports,,United Kingdom,External Trade
01/01/2018," Products & Components",Bituminous Roofing Felt*,Imports,,United Kingdom,External Trade
01/01/2019," Products & Components",Bituminous Roofing Felt*,Imports,,United Kingdom,External Trade
01/01/2020," Products & Components",Bituminous Roofing Felt*,Imports,,United Kingdom,External Trade
01/01/2015," Products & Components",Bituminous Roofing Felt*,Exports,,United Kingdom,External Trade
01/01/2016," Products & Components",Bituminous Roofing Felt*,Exports,,United Kingdom,External Trade
01/01/2017," Products & Components",Bituminous Roofing Felt*,Exports,,United Kingdom,External Trade
01/01/2018," Products & Components",Bituminous Roofing Felt*,Exports,,United Kingdom,External Trade
01/01/2019," Products & Components",Bituminous Roofing Felt*,Exports,,United Kingdom,External Trade
01/01/2020," Products & Components",Bituminous Roofing Felt*,Exports,,United Kingdom,External Trade
01/01/2015," Products & Components",Other Asphalt products*,Imports,,United Kingdom,External Trade
01/01/2016," Products & Components",Other Asphalt products*,Imports,,United Kingdom,External Trade
01/01/2017," Products & Components",Other Asphalt products*,Imports,,United Kingdom,External Trade
01/01/2018," Products & Components",Other Asphalt products*,Imports,,United Kingdom,External Trade
01/01/2019," Products & Components",Other Asphalt products*,Imports,,United Kingdom,External Trade
01/01/2020," Products & Components",Other Asphalt products*,Imports,,United Kingdom,External Trade
01/01/2015," Products & Components",Other Asphalt products*,Exports,,United Kingdom,External Trade
01/01/2016," Products & Components",Other Asphalt products*,Exports,,United Kingdom,External Trade
01/01/2017," Products & Components",Other Asphalt products*,Exports,,United Kingdom,External Trade
01/01/2018," Products & Components",Other Asphalt products*,Exports,,United Kingdom,External Trade
01/01/2019," Products & Components",Other Asphalt products*,Exports,,United Kingdom,External Trade
01/01/2020," Products & Components",Other Asphalt products*,Exports,,United Kingdom,External Trade
01/01/2015," Products & Components",Asphalt Products*,Imports,62171,United Kingdom,External Trade
01/01/2016," Products & Components",Asphalt Products*,Imports,64877,United Kingdom,External Trade
01/01/2017," Products & Components",Asphalt Products*,Imports,73520,United Kingdom,External Trade
01/01/2018," Products & Components",Asphalt Products*,Imports,77035,United Kingdom,External Trade
01/01/2019," Products & Components",Asphalt Products*,Imports,94287,United Kingdom,External Trade
01/01/2020," Products & Components",Asphalt Products*,Imports,90544,United Kingdom,External Trade
01/01/2015," Products & Components",Asphalt Products*,Exports,11690,United Kingdom,External Trade
01/01/2016," Products & Components",Asphalt Products*,Exports,11516,United Kingdom,External Trade
01/01/2017," Products & Components",Asphalt Products*,Exports,9589,United Kingdom,External Trade
01/01/2018," Products & Components",Asphalt Products*,Exports,10359,United Kingdom,External Trade
01/01/2019," Products & Components",Asphalt Products*,Exports,13771,United Kingdom,External Trade
01/01/2020," Products & Components",Asphalt Products*,Exports,12262,United Kingdom,External Trade
01/01/2015," Products & Components",Mineral Insulating Materials,Imports,99542,United Kingdom,External Trade
01/01/2016," Products & Components",Mineral Insulating Materials,Imports,106547,United Kingdom,External Trade
01/01/2017," Products & Components",Mineral Insulating Materials,Imports,124026,United Kingdom,External Trade
01/01/2018," Products & Components",Mineral Insulating Materials,Imports,143407,United Kingdom,External Trade
01/01/2019," Products & Components",Mineral Insulating Materials,Imports,135688,United Kingdom,External Trade
01/01/2020," Products & Components",Mineral Insulating Materials,Imports,109779,United Kingdom,External Trade
01/01/2015," Products & Components",Mineral Insulating Materials,Exports,151080,United Kingdom,External Trade
01/01/2016," Products & Components",Mineral Insulating Materials,Exports,162242,United Kingdom,External Trade
01/01/2017," Products & Components",Mineral Insulating Materials,Exports,190839,United Kingdom,External Trade
01/01/2018," Products & Components",Mineral Insulating Materials,Exports,196774,United Kingdom,External Trade
01/01/2019," Products & Components",Mineral Insulating Materials,Exports,211036,United Kingdom,External Trade
01/01/2020," Products & Components",Mineral Insulating Materials,Exports,178989,United Kingdom,External Trade
01/01/2015," Products & Components",Glass Fibre**,Imports,,United Kingdom,External Trade
01/01/2016," Products & Components",Glass Fibre**,Imports,,United Kingdom,External Trade
01/01/2017," Products & Components",Glass Fibre**,Imports,,United Kingdom,External Trade
01/01/2018," Products & Components",Glass Fibre**,Imports,,United Kingdom,External Trade
01/01/2019," Products & Components",Glass Fibre**,Imports,,United Kingdom,External Trade
01/01/2020," Products & Components",Glass Fibre**,Imports,,United Kingdom,External Trade
01/01/2015," Products & Components",Glass Fibre**,Exports,,United Kingdom,External Trade
01/01/2016," Products & Components",Glass Fibre**,Exports,,United Kingdom,External Trade
01/01/2017," Products & Components",Glass Fibre**,Exports,,United Kingdom,External Trade
01/01/2018," Products & Components",Glass Fibre**,Exports,,United Kingdom,External Trade
01/01/2019," Products & Components",Glass Fibre**,Exports,,United Kingdom,External Trade
01/01/2020," Products & Components",Glass Fibre**,Exports,,United Kingdom,External Trade
01/01/2015," Products & Components",Fibre Cement Products,Imports,64201,United Kingdom,External Trade
01/01/2016," Products & Components",Fibre Cement Products,Imports,72723,United Kingdom,External Trade
01/01/2017," Products & Components",Fibre Cement Products,Imports,83967,United Kingdom,External Trade
01/01/2018," Products & Components",Fibre Cement Products,Imports,80024,United Kingdom,External Trade
01/01/2019," Products & Components",Fibre Cement Products,Imports,86056,United Kingdom,External Trade
01/01/2020," Products & Components",Fibre Cement Products,Imports,86423,United Kingdom,External Trade
01/01/2015," Products & Components",Fibre Cement Products,Exports,6866,United Kingdom,External Trade
01/01/2016," Products & Components",Fibre Cement Products,Exports,10836,United Kingdom,External Trade
01/01/2017," Products & Components",Fibre Cement Products,Exports,11831,United Kingdom,External Trade
01/01/2018," Products & Components",Fibre Cement Products,Exports,9282,United Kingdom,External Trade
01/01/2019," Products & Components",Fibre Cement Products,Exports,11405,United Kingdom,External Trade
01/01/2020," Products & Components",Fibre Cement Products,Exports,4819,United Kingdom,External Trade
01/01/2015," Products & Components",Building Plasters1,Imports,,United Kingdom,External Trade
01/01/2016," Products & Components",Building Plasters1,Imports,,United Kingdom,External Trade
01/01/2017," Products & Components",Building Plasters1,Imports,,United Kingdom,External Trade
01/01/2018," Products & Components",Building Plasters1,Imports,,United Kingdom,External Trade
01/01/2019," Products & Components",Building Plasters1,Imports,,United Kingdom,External Trade
01/01/2020," Products & Components",Building Plasters1,Imports,,United Kingdom,External Trade
01/01/2015," Products & Components",Building Plasters1,Exports,,United Kingdom,External Trade
01/01/2016," Products & Components",Building Plasters1,Exports,,United Kingdom,External Trade
01/01/2017," Products & Components",Building Plasters1,Exports,,United Kingdom,External Trade
01/01/2018," Products & Components",Building Plasters1,Exports,,United Kingdom,External Trade
01/01/2019," Products & Components",Building Plasters1,Exports,,United Kingdom,External Trade
01/01/2020," Products & Components",Building Plasters1,Exports,,United Kingdom,External Trade
01/01/2015," Products & Components",Plasters1,Imports,9311,United Kingdom,External Trade
01/01/2016," Products & Components",Plasters1,Imports,11498,United Kingdom,External Trade
01/01/2017," Products & Components",Plasters1,Imports,24626,United Kingdom,External Trade
01/01/2018," Products & Components",Plasters1,Imports,25268,United Kingdom,External Trade
01/01/2019," Products & Components",Plasters1,Imports,20252,United Kingdom,External Trade
01/01/2020," Products & Components",Plasters1,Imports,28101,United Kingdom,External Trade
01/01/2015," Products & Components",Plasters1,Exports,7925,United Kingdom,External Trade
01/01/2016," Products & Components",Plasters1,Exports,9345,United Kingdom,External Trade
01/01/2017," Products & Components",Plasters1,Exports,12458,United Kingdom,External Trade
01/01/2018," Products & Components",Plasters1,Exports,15254,United Kingdom,External Trade
01/01/2019," Products & Components",Plasters1,Exports,15128,United Kingdom,External Trade
01/01/2020," Products & Components",Plasters1,Exports,12046,United Kingdom,External Trade
01/01/2015," Products & Components",Plasterboard,Imports,29038,United Kingdom,External Trade
01/01/2016," Products & Components",Plasterboard,Imports,33957,United Kingdom,External Trade
01/01/2017," Products & Components",Plasterboard,Imports,47639,United Kingdom,External Trade
01/01/2018," Products & Components",Plasterboard,Imports,47489,United Kingdom,External Trade
01/01/2019," Products & Components",Plasterboard,Imports,60433,United Kingdom,External Trade
01/01/2020," Products & Components",Plasterboard,Imports,52268,United Kingdom,External Trade
01/01/2015," Products & Components",Plasterboard,Exports,10895,United Kingdom,External Trade
01/01/2016," Products & Components",Plasterboard,Exports,12884,United Kingdom,External Trade
01/01/2017," Products & Components",Plasterboard,Exports,15477,United Kingdom,External Trade
01/01/2018," Products & Components",Plasterboard,Exports,16789,United Kingdom,External Trade
01/01/2019," Products & Components",Plasterboard,Exports,21222,United Kingdom,External Trade
01/01/2020," Products & Components",Plasterboard,Exports,14377,United Kingdom,External Trade
01/01/2015," Products & Components",Copper Pipes,Imports,232193,United Kingdom,External Trade
01/01/2016," Products & Components",Copper Pipes,Imports,243618,United Kingdom,External Trade
01/01/2017," Products & Components",Copper Pipes,Imports,303881,United Kingdom,External Trade
01/01/2018," Products & Components",Copper Pipes,Imports,319449,United Kingdom,External Trade
01/01/2019," Products & Components",Copper Pipes,Imports,329345,United Kingdom,External Trade
01/01/2020," Products & Components",Copper Pipes,Imports,264305,United Kingdom,External Trade
01/01/2015," Products & Components",Copper Pipes,Exports,98036,United Kingdom,External Trade
01/01/2016," Products & Components",Copper Pipes,Exports,89153,United Kingdom,External Trade
