Date,Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Current Prices (£'000),Geographical Region,Type
01/01/2020," Raw Materials",Gypsum & Anhydrite,Exports,2359,United Kingdom,External Trade
01/01/2015," Raw Materials",Bituminous Shale,Imports,4937,United Kingdom,External Trade
01/01/2016," Raw Materials",Bituminous Shale,Imports,4345,United Kingdom,External Trade
01/01/2017," Raw Materials",Bituminous Shale,Imports,6310,United Kingdom,External Trade
01/01/2018," Raw Materials",Bituminous Shale,Imports,4620,United Kingdom,External Trade
01/01/2019," Raw Materials",Bituminous Shale,Imports,5427,United Kingdom,External Trade
01/01/2020," Raw Materials",Bituminous Shale,Imports,1534,United Kingdom,External Trade
01/01/2015," Raw Materials",Bituminous Shale,Exports,2412,United Kingdom,External Trade
01/01/2016," Raw Materials",Bituminous Shale,Exports,1892,United Kingdom,External Trade
01/01/2017," Raw Materials",Bituminous Shale,Exports,2176,United Kingdom,External Trade
01/01/2018," Raw Materials",Bituminous Shale,Exports,2630,United Kingdom,External Trade
01/01/2019," Raw Materials",Bituminous Shale,Exports,3633,United Kingdom,External Trade
01/01/2020," Raw Materials",Bituminous Shale,Exports,2350,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Clinker,Imports,49491,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Clinker,Imports,49305,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Clinker,Imports,51769,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Clinker,Imports,65055,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Clinker,Imports,39541,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Clinker,Imports,20880,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Clinker,Exports,1368,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Clinker,Exports,3303,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Clinker,Exports,1646,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Clinker,Exports,1016,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Clinker,Exports,774,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Clinker,Exports,966,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,783597,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,838098,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,859243,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,883365,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,798895,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,832663,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,18626,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,20373,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,26705,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,32062,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,27762,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,30980,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Densified Wood,Imports,1748,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Densified Wood,Imports,1507,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Densified Wood,Imports,1400,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Densified Wood,Imports,1662,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Densified Wood,Imports,1742,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Densified Wood,Imports,2905,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Densified Wood,Exports,498,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Densified Wood,Exports,588,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Densified Wood,Exports,807,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Densified Wood,Exports,680,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Densified Wood,Exports,821,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Densified Wood,Exports,731,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Particle Board,Imports,44053,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Particle Board,Imports,52261,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Particle Board,Imports,60441,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Particle Board,Imports,65575,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Particle Board,Imports,56980,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Particle Board,Imports,39228,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Particle Board,Exports,5084,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Particle Board,Exports,6476,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Particle Board,Exports,9815,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Particle Board,Exports,7151,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Particle Board,Exports,8663,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Particle Board,Exports,8029,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Laminated Wood,Imports,148777,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Laminated Wood,Imports,283492,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Laminated Wood,Imports,359909,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Laminated Wood,Imports,360362,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Laminated Wood,Imports,356181,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Laminated Wood,Imports,302791,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Laminated Wood,Exports,10474,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Laminated Wood,Exports,17098,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Laminated Wood,Exports,21840,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Laminated Wood,Exports,24447,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Laminated Wood,Exports,27670,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Laminated Wood,Exports,24709,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Fibreboard,Imports,65275,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Fibreboard,Imports,74385,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Fibreboard,Imports,90128,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Fibreboard,Imports,103904,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Fibreboard,Imports,127511,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Fibreboard,Imports,100821,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Fibreboard,Exports,6261,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Fibreboard,Exports,6954,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Fibreboard,Exports,8230,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Fibreboard,Exports,8883,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Fibreboard,Exports,8380,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Fibreboard,Exports,8727,United Kingdom,External Trade
