Date,Building Materials & Components Type," Materials & Components Sub-Type",Imports/Exports,Current Prices (Â£'000),Geographical Region,Type,Unique_Key
01/01/2016," Raw Materials",Building Stone : unprocessed,Imports,151816,United Kingdom,External Trade,01/01/2016Raw MaterialsBuilding Stone : unprocessedImports151816United KingdomExternal Trade
01/01/2017," Raw Materials",Building Stone : unprocessed,Imports,176711,United Kingdom,External Trade,01/01/2017Raw MaterialsBuilding Stone : unprocessedImports176711United KingdomExternal Trade
01/01/2018," Raw Materials",Building Stone : unprocessed,Imports,180697,United Kingdom,External Trade,01/01/2018Raw MaterialsBuilding Stone : unprocessedImports180697United KingdomExternal Trade
01/01/2019," Raw Materials",Building Stone : unprocessed,Imports,184172,United Kingdom,External Trade,01/01/2019Raw MaterialsBuilding Stone : unprocessedImports184172United KingdomExternal Trade
01/01/2020," Raw Materials",Building Stone : unprocessed,Imports,198744,United Kingdom,External Trade,01/01/2020Raw MaterialsBuilding Stone : unprocessedImports198744United KingdomExternal Trade
01/01/2015," Raw Materials",Building Stone : unprocessed,Exports,1690,United Kingdom,External Trade,01/01/2015Raw MaterialsBuilding Stone : unprocessedExports1690United KingdomExternal Trade
01/01/2016," Raw Materials",Building Stone : unprocessed,Exports,1976,United Kingdom,External Trade,01/01/2016Raw MaterialsBuilding Stone : unprocessedExports1976United KingdomExternal Trade
01/01/2017," Raw Materials",Building Stone : unprocessed,Exports,3128,United Kingdom,External Trade,01/01/2017Raw MaterialsBuilding Stone : unprocessedExports3128United KingdomExternal Trade
01/01/2018," Raw Materials",Building Stone : unprocessed,Exports,4094,United Kingdom,External Trade,01/01/2018Raw MaterialsBuilding Stone : unprocessedExports4094United KingdomExternal Trade
01/01/2019," Raw Materials",Building Stone : unprocessed,Exports,4409,United Kingdom,External Trade,01/01/2019Raw MaterialsBuilding Stone : unprocessedExports4409United KingdomExternal Trade
01/01/2020," Raw Materials",Building Stone : unprocessed,Exports,1918,United Kingdom,External Trade,01/01/2020Raw MaterialsBuilding Stone : unprocessedExports1918United KingdomExternal Trade
01/01/2015," Raw Materials",Slate : unprocessed,Imports,10699,United Kingdom,External Trade,01/01/2015Raw MaterialsSlate : unprocessedImports10699United KingdomExternal Trade
01/01/2016," Raw Materials",Slate : unprocessed,Imports,13574,United Kingdom,External Trade,01/01/2016Raw MaterialsSlate : unprocessedImports13574United KingdomExternal Trade
01/01/2017," Raw Materials",Slate : unprocessed,Imports,19851,United Kingdom,External Trade,01/01/2017Raw MaterialsSlate : unprocessedImports19851United KingdomExternal Trade
01/01/2018," Raw Materials",Slate : unprocessed,Imports,15487,United Kingdom,External Trade,01/01/2018Raw MaterialsSlate : unprocessedImports15487United KingdomExternal Trade
01/01/2019," Raw Materials",Slate : unprocessed,Imports,23247,United Kingdom,External Trade,01/01/2019Raw MaterialsSlate : unprocessedImports23247United KingdomExternal Trade
01/01/2020," Raw Materials",Slate : unprocessed,Imports,24214,United Kingdom,External Trade,01/01/2020Raw MaterialsSlate : unprocessedImports24214United KingdomExternal Trade
01/01/2015," Raw Materials",Slate : unprocessed,Exports,1921,United Kingdom,External Trade,01/01/2015Raw MaterialsSlate : unprocessedExports1921United KingdomExternal Trade
01/01/2016," Raw Materials",Slate : unprocessed,Exports,1286,United Kingdom,External Trade,01/01/2016Raw MaterialsSlate : unprocessedExports1286United KingdomExternal Trade
01/01/2017," Raw Materials",Slate : unprocessed,Exports,1367,United Kingdom,External Trade,01/01/2017Raw MaterialsSlate : unprocessedExports1367United KingdomExternal Trade
